PV,Tag,Independent,PlainConjunct,ChangedConjunct
ani,PVDir,ani,ani,NA
awi,PVDir,awi,awi,NA
baa,PVDir,baa,baa,NA
babaa,PVDir,babaa,babaa,NA
bibaa,PVDir,bibaa,bibaa,NA
biiji,PVDir,biiji,biiji,NA
bi,PVDir,bi,bi,bi
bimi,PVDir,bimi,bimi,NA
ni,PVDir,ni,ni,eni
o,PVDir,o,o,NA
ombi,PVDir,ombi,ombi,NA
wi,PVDir,wi,wi,wi
zaagiji,PVDir,zaagiji,zaagiji,NA
