PV,Tag,Independent,PlainConjunct,ChangedConjunct
ga,PVTense,ga,ji,ge
daa,PVTense,daa,ji,ge
daa,PVTense,daa,da,ge
gii,PVTense,gii<T>,gii<T>,NONE
gii',PVTense,gii'<T>,gii'<T>,NONE
wii,PVTense,wii<T>,wii<T>,NONE
wii',PVTense,wii'<T>,wii'<T>,NONE
jibwaa,PVTense,jibwaa,jibwaa,NONE
aano,PVTense,aano,aano,NONE
aana,PVTense,aana,aana,NONE
