Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Sg,Prb,NA,waabandangegon,<<waaband>>angegon,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Pl,Prb,NA,waabandangegon,<<waaband>>angegon,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Sg,Prb,NA,waabandanziidaa,<<waaband>>anziidaa,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Pl,Prb,NA,waabandanziidaanin,<<waaband>>anziidaanin,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Sg,Sim,NA,waabandan,<<waaband>>an,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Pl,Sim,NA,waabandan,<<waaband>>an,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Sg,Sim,NA,waabandamog,<<waaband>>amog,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,waabandamok,<<waaband>>amok,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Pl,Sim,NA,waabandamog,<<waaband>>amog,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,waabandamok,<<waaband>>amok,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Sg,Sim,NA,waabandandaa,<<waaband>>andaa,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Pl,Sim,NA,waabandandaanin,<<waaband>>andaanin,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Sg,Del,NA,wanitookan,<<wanit>>ookan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Pl,Del,NA,wanitookan,<<wanit>>ookan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Sg,Del,NA,wanitookeg,<<wanit>>ookeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Pl,Del,NA,wanitookeg,<<wanit>>ookeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Sg,Del,NA,wanitookang,<<wanit>>ookang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Pl,Del,NA,wanitookang,<<wanit>>ookang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Sg,Prb,NA,wanitooken,<<wanit>>ooken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Pl,Prb,NA,wanitooken,<<wanit>>ooken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Sg,Prb,NA,wanitookegon,<<wanit>>ookegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Pl,Prb,NA,wanitookegon,<<wanit>>ookegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Sg,Prb,NA,wanitoosiidaa,<<wanit>>oosiidaa,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Pl,Prb,NA,wanitoosiidaanin,<<wanit>>oosiidaanin,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Sg,Sim,NA,wanitoon,<<wanit>>oon,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Sg,0Pl,Sim,NA,wanitoon,<<wanit>>oon,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Sg,Sim,NA,wanitoog,<<wanit>>oog,JDN-2010-MS-VTI-p43,wanitook,<<wanit>>ook,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_oo,wanitoon,wanit,2Pl,0Pl,Sim,NA,wanitoog,<<wanit>>oog,JDN-2010-MS-VTI-p43,wanitook,<<wanit>>ook,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Sg,Sim,NA,wanitoodaa,<<wanit>>oodaa,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,Incl,0Pl,Sim,NA,wanitoodaanin,<<wanit>>oodaanin,JDN-2010-MS-VTI-p43,,,
