Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,Neu,Neg,atemagasinini,<<atemaga>>sininiw,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,Neu,Neg,atemagasinoon,<<atemaga>>sinoon,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,Prt,Pos,atemagadiniibaniin,<<atemagad>>iniibaniin,JDN-2010-MS-VII-p6,atemagadiniibanen,<<atemagad>>iniibanen,JDN-2010-MS-VII-p6
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,Prt,Pos,atemagadoobaniin,<<atemagad>>oobaniin,JDN-2010-MS-VII-p6,atemagadoobanen,<<atemagad>>oobanen,JDN-2010-MS-VII-p6
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,Prt,Pos,atemagadiniiban,<<atemagad>>iniiban,JDN-2010-MS-VII-p6,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,Prt,Pos,atemagadooban,<<atemagad>>ooban,JDN-2010-MS-VII-p6,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,Prt,Neg,atemagasininiibaniin,<<atemaga>>sininiibaniin,JDN-2010-MS-VII-p7,atemagasininiibanen,<<atemaga>>sininiibanen,JDN-2010-MS-VII-p7
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,Prt,Neg,atemagasinoobaniin,<<atemaga>>sinoobaniin,JDN-2010-MS-VII-p7,atemagasinoobanen,<<atemaga>>sinoobanen,JDN-2010-MS-VII-p7
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,Prt,Neg,atemagasininiiban,<<atemaga>>sininiiban,JDN-2010-MS-VII-p7,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,Prt,Neg,atemagasinooban,<<atemaga>>sinooban,JDN-2010-MS-VII-p7,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,Dub,Pos,atemagadiniwidogen,<<atemagad>>iniwidogen,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,Dub,Pos,atemagadodogen,<<atemagad>>odogen,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,Dub,Pos,atemagadiniwidog,<<atemagad>>iniwidog,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,Dub,Pos,atemagadodog,<<atemagad>>odog,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,Dub,Neg,atemagasininiwidogen,<<atemaga>>sininiwidogen,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,Dub,Neg,atemagasinodogen,<<atemaga>>sinodogen,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,Dub,Neg,atemagasininiwidog,<<atemaga>>sininiwidog,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,Dub,Neg,atemagasinodog,<<atemaga>>sinodog,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,DubPrt,Pos,atemagadinigobaniin,<<atemagad>>inigobaniin,JDN-2010-MS-VII-p11,atemagadinigobanen,<<atemagad>>inigobanen,JDN-2010-MS-VII-p11
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,DubPrt,Pos,atemagadogobaniin,<<atemagad>>ogobaniin,JDN-2010-MS-VII-p11,atemagadogobanen,<<atemagad>>ogobanen,JDN-2010-MS-VII-p11
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,DubPrt,Pos,atemagadinigoban,<<atemagad>>inigoban,JDN-2010-MS-VII-p11,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,DubPrt,Pos,atemagadogoban,<<atemagad>>ogoban,JDN-2010-MS-VII-p11,,,
VII,Ind,VII_d,atemagad,atemagad,0PlObv,NA,DubPrt,Neg,atemagasininigobaniin,<<atemaga>>sininigobaniin,JDN-2010-MS-VII-p12,atemagasininigobanen,<<atemaga>>sininigobanen,JDN-2010-MS-VII-p12
VII,Ind,VII_d,atemagad,atemagad,0PlProx,NA,DubPrt,Neg,atemagasinoogobaniin,<<atemaga>>sinoogobaniin,JDN-2010-MS-VII-p12,atemagasinoogobanen,<<atemaga>>sinoogobanen,JDN-2010-MS-VII-p12
VII,Ind,VII_d,atemagad,atemagad,0SgObv,NA,DubPrt,Neg,atemagasininigoban,<<atemaga>>sininigoban,JDN-2010-MS-VII-p12,,,
VII,Ind,VII_d,atemagad,atemagad,0SgProx,NA,DubPrt,Neg,atemagasinoogoban,<<atemaga>>sinoogoban,JDN-2010-MS-VII-p12,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Neu,Pos,bangisininiwan,<<bangisin>>iniwan,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Neu,Pos,bangisinoon,<<bangisin>>oon,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Neu,Pos,bangisinini,<<bangisin>>iniw,JDN-2010-MS-VII-p3,,,
