Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Imp,VAI_VV,madaabii,madaabii,2Pl,NA,Prb,NA,MISSING,,,,,,,,
VAI,Imp,VAI_VV,madaabii,madaabii,Incl,NA,Prb,NA,MISSING,,,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Sg,NA,Sim,NA,minongwaamin,<<minongwaam>>in,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Pl,NA,Sim,NA,minongwaamog,<<minongwaam>>og,JDN-PC,minongwaamok,<<minongwaam>>ok,JDN-PC,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,Incl,NA,Sim,NA,minongwaandaa,<<minongwaan>>daa,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Sg,NA,Del,NA,minongwaamookan,<<minongwaam>>ookan,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Pl,NA,Del,NA,minongwaamookeg,<<minongwaam>>ookeg,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,Incl,NA,Del,NA,minongwaamookang,<<minongwaam>>ookang,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Sg,NA,Prb,NA,minongwaangen,<<minongwaan>>gen,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2Pl,NA,Prb,NA,minongwaangegon,<<minongwaan>>gegon,JDN-PC,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,Incl,NA,Prb,NA,minongwaanziidaa,<<minongwaan>>ziidaa,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Sg,NA,Sim,NA,wanishinin,<<wanishin>>in,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Pl,NA,Sim,NA,wanishinog,<<wanishin>>og,JDN-PC,wanishinok,<<wanishin>>ok,JDN-PC,,,
VAI,Imp,VAI_n,wanishin,wanishin,Incl,NA,Sim,NA,wanishindaa,<<wanishin>>daa,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Sg,NA,Del,NA,wanishinookan,<<wanishin>>ookan,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Pl,NA,Del,NA,wanishinookeg,<<wanishin>>ookeg,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,Incl,NA,Del,NA,wanishinookang,<<wanishin>>ookang,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Sg,NA,Prb,NA,wanishingen,<<wanishin>>gen,JDN-PC,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2Pl,NA,Prb,NA,wanishingegon,<<wanishin>>gegon,JDN-PC,,,,,,
