Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAIO,Ind,VAIO,aadawe,aadawe,1Sg,0Sg,Preterit,Positive,indadaawenaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,2Sg,0Sg,Preterit,Positive,gidadaawenaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,Excl,0Sg,Preterit,Positive,indadaaweminaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,Incl,0Sg,Preterit,Positive,gidadaaweminaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,2Pl,0Sg,Preterit,Positive,gidadaawenaawaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,3SgProx,0Sg,Preterit,Positive,odadaawenaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,3PlProx,0Sg,Preterit,Positive,odadaawenaawaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,3SgObv,0Sg,Preterit,Positive,odadaaweninaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,3PlObv,0Sg,Preterit,Positive,MISSING,,,,,
VAIO,Ind,VAIO,aadawe,aadawe,X,0Sg,Preterit,Positive,MISSING,,,,,
VAIO,Ind,VAIO,aadawe,aadawe,1Sg,0Pl,Preterit,Positive,indadaawenaabaniin,,JDN-PC,indadaawenaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,2Sg,0Pl,Preterit,Positive,gidadaawenaabaniin,,JDN-PC,gidadaawenaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,Excl,0Pl,Preterit,Positive,indadaaweminaabaniin,,JDN-PC,indadaaweminaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,Incl,0Pl,Preterit,Positive,gidadaaweminaabaniin,,JDN-PC,gidadaaweminaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,2Pl,0Pl,Preterit,Positive,gidadaawenaawaabaniin,,JDN-PC,gidadaawenaawaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,3SgProx,0Pl,Preterit,Positive,odadaawenaabaniin,,JDN-PC,odadaawenaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,3PlProx,0Pl,Preterit,Positive,odadaawenaawaabaniin,,JDN-PC,odadaawenaawaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,3SgObv,0Pl,Preterit,Positive,odadaaweninaabaniin,,JDN-PC,odadaaweninaabanen,,JDN-PC
VAIO,Ind,VAIO,aadawe,aadawe,3PlObv,0Pl,Preterit,Positive,MISSING,,,,,
VAIO,Ind,VAIO,aadawe,aadawe,X,0Pl,Preterit,Positive,MISSING,,,,,
VAIO,Ind,VAIO,aadawe,aadawe,1Sg,0Sg,Preterit,Negative,indadaawesiinaaban,,JDN-PC,,,
VAIO,Ind,VAIO,aadawe,aadawe,2Sg,0Sg,Preterit,Negative,gidadaawesiinaaban,,JDN-PC,,,
