Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,
VAI,Pcp,VAI_V,nagamo,nagamo,3SgProxHead,3SgProxSubj,NONE,Dub,Pos,negamogwen,<<nagamo>>gwen,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3SgProxHead,3SgProxSubj,NONE,Dub,Pos,nebaagwen,<<nibaa>>gwen,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3SgProxHead,3SgProxSubj,NONE,Dub,Pos,naamigwen,<<niimi>>gwen,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3SgProxHead,3SgProxSubj,NONE,Dub,Pos,wenishinogwen,<<wanishin>>ogwen,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3SgProxHead,3SgProxSubj,NONE,Dub,Pos,wayebinigegwen,<<webinige>>gwen,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3SgProxHead,3SgProxSubj,NONE,Dub,Pos,zayaaga'amogwen,<<zaaga'>>amogwen,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,mayaajiibatoosiinigobanenan,<<maajiibatoo>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,medaabiisiinigobanenan,<<madaabii>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,menongwaanziinigobanenan,<<minongwaan>>ziinigobanenan,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,negamosiinigobanenan,<<nagamo>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,nebaasiinigobanenan,<<nibaa>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,naamisiinigobanenan,<<niimi>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,wenishinziinigobanenan,<<wanishin>>ziinigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,wayebinigesiinigobanenan,<<webinige>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlObvHead,3PlObvSubj,NONE,DubPrt,Neg,zayaaga'aminigobanenan,<<zaaga'>>aminigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,mayaajiibatoonigobanenan,<<maajiibatoo>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,medaabiinigobanenan,<<madaabii>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,menongwaaminigobanenan,<<minongwaam>>inigobanenan,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,negamonigobanenan,<<nagamo>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,nebaanigobanenan,<<nibaa>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,naaminigobanenan,<<niimi>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,wenishininigobanenan,<<wanishin>>inigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,wayebinigenigobanenan,<<webinige>>nigobanenan,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlObvHead,3PlObvSubj,NONE,DubPrt,Pos,zayaaga'aminigobanenan,<<zaaga'>>aminigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,mayaajiibatoosiigobanenag,<<maajiibatoo>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,medaabiisiigobanenag,<<madaabii>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,menongwaanziigobanenag,<<minongwaan>>ziigobanenag,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,negamosiigobanenag,<<nagamo>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,nebaasiigobanenag,<<nibaa>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,naamisiigobanenag,<<niimi>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,wenishinziigobanenag,<<wanishin>>ziigobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,wayebinigesiigobanenag,<<webinige>>siigobanenag,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlProxHead,3PlProxSubj,NONE,DubPrt,Neg,zayaaga'amogobanenag,<<zaaga'>>amogobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,mayaajiibatoogobanenag,<<maajiibatoo>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,medaabiigobanenag,<<madaabii>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,menongwaamogobanenag,<<minongwaam>>ogobanenag,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,negamogobanenag,<<nagamo>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,nebaagobanenag,<<nibaa>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,naamigobanenag,<<niimi>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,wenishinogobanenag,<<wanishin>>ogobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,wayebinigegobanenag,<<webinige>>gobanenag,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3PlProxHead,3PlProxSubj,NONE,DubPrt,Pos,zayaaga'amogobanenag,<<zaaga'>>amogobanenag,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3SgObvHead,3SgObvSubj,NONE,DubPrt,Neg,mayaajiibatoosiinigobanenan,<<maajiibatoo>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3SgObvHead,3SgObvSubj,NONE,DubPrt,Neg,medaabiisiinigobanenan,<<madaabii>>siinigobanenan,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3SgObvHead,3SgObvSubj,NONE,DubPrt,Neg,menongwaanziinigobanenan,<<minongwaan>>ziinigobanenan,GUESS,,,,
