Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Dub,Neg,MISSING,,,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Dub,Pos,etenigwenan,<ChCnj><<ate>>nigwenan,JDN-2010-MS-VII-p18,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,DubPrt,Neg,etesininigobanenan,<ChCnj><<ate>>sininigobanenan,JDN-2010-MS-VII-p21,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,DubPrt,Pos,etenigobanenan,<ChCnj><<ate>>nigobanenan,JDN-2010-MS-VII-p20,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Neu,Neg,etesininijin,<ChCnj><<ate>>sininijin,JDN-2010-MS-VII-p15,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Neu,Pos,etenijin,<ChCnj><<ate>>nijin,JDN-2010-MS-VII-p14,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Prt,Neg,etesininigibaniin,<ChCnj><<ate>>sininigibaniin,JDN-2010-MS-VII-p17,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlObvHead,0PlObvSubj,NONE,Prt,Pos,etenigibaniin,<ChCnj><<ate>>nigibaniin,JDN-2010-MS-VII-p16,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Dub,Neg,MISSING,,,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Dub,Pos,etegwenan,<ChCnj><<ate>>gwenan,JDN-2010-MS-VII-p18,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,DubPrt,Neg,etesinoogobanenan,<ChCnj><<ate>>sinoogobanenan,JDN-2010-MS-VII-p21,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,DubPrt,Pos,etegobanenan,<ChCnj><<ate>>gobanenan,JDN-2010-MS-VII-p20,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Neu,Neg,etesinogin,<ChCnj><<ate>>sinogin,JDN-2010-MS-VII-p15,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Neu,Pos,etegin,<ChCnj><<ate>>gin,JDN-2010-MS-VII-p14,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Prt,Neg,etesinoogibaniin,<ChCnj><<ate>>sinoogibaniin,JDN-2010-MS-VII-p17,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0PlHead,0PlSubj,NONE,Prt,Pos,etegibaniin,<ChCnj><<ate>>gibaniin,JDN-2010-MS-VII-p16,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Dub,Neg,MISSING,,,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Dub,Pos,etenigwen,<ChCnj><<ate>>nigwen,JDN-2010-MS-VII-p18,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,DubPrt,Neg,etesininigobanen,<ChCnj><<ate>>sininigobanen,JDN-2010-MS-VII-p21,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,DubPrt,Pos,etenigobanen,<ChCnj><<ate>>nigobanen,JDN-2010-MS-VII-p20,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Neu,Neg,etesininig,<ChCnj><<ate>>sininig,JDN-2010-MS-VII-p15,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Neu,Pos,etenig,<ChCnj><<ate>>nig,JDN-2010-MS-VII-p14,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Prt,Neg,etesininigiban,<ChCnj><<ate>>sininigiban,JDN-2010-MS-VII-p17,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgObvHead,0SgObvSubj,NONE,Prt,Pos,etenigiban,<ChCnj><<ate>>nigiban,JDN-2010-MS-VII-p16,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Dub,Neg,MISSING,,,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Dub,Pos,etegwen,<ChCnj><<ate>>gwen,JDN-2010-MS-VII-p18,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,DubPrt,Neg,etesinoogobanen,<ChCnj><<ate>>sinoogobanen,JDN-2010-MS-VII-p21,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,DubPrt,Pos,etegobanen,<ChCnj><<ate>>gobanen,JDN-2010-MS-VII-p20,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Neu,Neg,etesinog,<ChCnj><<ate>>sinog,JDN-2010-MS-VII-p15,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Neu,Pos,eteg,<ChCnj><<ate>>g,JDN-2010-MS-VII-p14,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Prt,Neg,etesinoogiban,<ChCnj><<ate>>sinoogiban,JDN-2010-MS-VII-p17,,,
VII,Pcp/ChCnj,VII_VV,ate,ate,0SgHead,0SgSubj,NONE,Prt,Pos,etegiban,<ChCnj><<ate>>giban,JDN-2010-MS-VII-p16,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,Dub,Neg,etemagasininiigwenan,<ChCnj><<atemaga>>sininiigwenan,JDN-2010-MS-VII-p19,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,Dub,Pos,etemagadinigwenan,<ChCnj><<atemagad>>inigwenan,JDN-2010-MS-VII-p18,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,DubPrt,Neg,etemagasininigobanenan,<ChCnj><<atemaga>>sininigobanenan,JDN-2010-MS-VII-p21,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,DubPrt,Pos,etemagadinigobanenan,<ChCnj><<atemagad>>inigobanenan,JDN-2010-MS-VII-p20,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,Neu,Neg,etemagasininijin,<ChCnj><<atemaga>>sininijin,JDN-2010-MS-VII-p15,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,Neu,Pos,etemagadinijin,<ChCnj><<atemagad>>inijin,JDN-2010-MS-VII-p14,,,
VII,Pcp/ChCnj,VII_d,atemagad,atemagad,0PlObvHead,0PlObvSubj,NONE,Prt,Neg,etemagasininigibaniin,<ChCnj><<atemaga>>sininigibaniin,JDN-2010-MS-VII-p17,,,
