Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Imp,VAI_VV,maajiibatoo,maajiibatoo,2SgSubj,NAObj,Del,NA,maajiibatookan,<<maajiibatoo>>kan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_VV,madaabii,madaabii,2SgSubj,NAObj,Del,NA,madaabiikan,<<madaabii>>kan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2SgSubj,NAObj,Del,NA,minongwaamookan,<<minongwaam>>ookan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_V,nagamo,nagamo,2SgSubj,NAObj,Del,NA,nagamookan,<<nagamo>>V1kan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2SgSubj,NAObj,Del,NA,nibaakan,<<nibaa>>kan,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_V,niimi,niimi,2SgSubj,NAObj,Del,NA,niimiikan,<<niimi>>V1kan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2SgSubj,NAObj,Del,NA,wanishinookan,<<wanishin>>ookan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_VV,webinige,webinige,2SgSubj,NAObj,Del,NA,webinigekan,<<webinige>>kan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2SgSubj,NAObj,Del,NA,zaaga'amookan,<<zaaga'>>amookan,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_VV,maajiibatoo,maajiibatoo,2SgSubj,NAObj,Prb,NA,MISSING,,,,,,,,
VAI,Imp,VAI_VV,madaabii,madaabii,2SgSubj,NAObj,Prb,NA,MISSING,,,,,,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2SgSubj,NAObj,Prb,NA,minongwaangen,<<minongwaan>>gen,JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_V,nagamo,nagamo,2SgSubj,NAObj,Prb,NA,nagamoken,<<nagamo>>ken,JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2SgSubj,NAObj,Prb,NA,nibaaken,<<nibaa>>ken,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_V,niimi,niimi,2SgSubj,NAObj,Prb,NA,niimiken,<<niimi>>ken,JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_n,wanishin,wanishin,2SgSubj,NAObj,Prb,NA,wanishingen,<<wanishin>>gen,JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_VV,webinige,webinige,2SgSubj,NAObj,Prb,NA,MISSING,,,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2SgSubj,NAObj,Prb,NA,zaaga'angen,<<zaaga'>>angen,JDN-2010-MS-VAI-p40,,,,,,
VAI,Imp,VAI_VV,maajiibatoo,maajiibatoo,2SgSubj,NAObj,Sim,NA,maajiibatoon,<<maajiibatoo>>n,JDN-2010-MS-VAI-p39,,,,,,
VAI,Imp,VAI_VV,madaabii,madaabii,2SgSubj,NAObj,Sim,NA,madaabiin,<<madaabii>>n,JDN-2010-MS-VAI-p39,,,,,,
