Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,Prt,Neg,giwaabandizosiinaaban,gi<<waabandizo>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,Prt,Neg,waabandizosiibanii',<<waabandizo>>siibanii',GUESS,waabandizosiibaniin,<<waabandizo>>siibaniin,JDN-2010-MS-VAI-p12,waabandizosiibanen,<<waabandizo>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,Prt,Neg,waabandizosiibaniig,<<waabandizo>>siibaniig,JDN-2010-MS-VAI-p12,,,,waabandizosiibaneg,<<waabandizo>>siibaneg,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,Prt,Neg,waabandizosiibaniin,<<waabandizo>>siibaniin,JDN-2010-MS-VAI-p12,,,,waabandizosiibanen,<<waabandizo>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,Prt,Neg,waabandizosiiban,<<waabandizo>>siiban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,Prt,Neg,niwaabandizosiiminaaban,ni<<waabandizo>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,Prt,Neg,giwaabandizosiiminaaban,gi<<waabandizo>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,Dub,Pos,niwaabandizonaadog,ni<<waabandizo>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,Dub,Pos,giwaabandizomwaadog,gi<<waabandizo>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,Dub,Pos,giwaabandizonaadog,gi<<waabandizo>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,Dub,Pos,waabandizodogena',<<waabandizo>>dogena',GUESS,waabandizowidogenan,<<waabandizo>>widogenan,JDN-2010-MS-VAI-p15,waabandizowidogena',<<waabandizo>>widogena',JDN-2010-MS-VAI-p15
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,Dub,Pos,waabandizowidogenag,<<waabandizo>>widogenag,JDN-2010-MS-VAI-p15,waabandizodogenag,<<waabandizo>>dogenag,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,Dub,Pos,waabandizowidogenan,<<waabandizo>>widogenan,JDN-2010-MS-VAI-p15,waabandizodogenan,<<waabandizo>>dogenan,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,Dub,Pos,waabandizowidog,<<waabandizo>>widog,JDN-2010-MS-VAI-p15,waabandizodog,<<waabandizo>>dog,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,Dub,Pos,niwaabandizominaadog,ni<<waabandizo>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,Dub,Pos,giwaabandizominaadog,gi<<waabandizo>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,Dub,Neg,niwaabandizosiinaadog,ni<<waabandizo>>siinaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,Dub,Neg,giwaabandizosiimwaadog,gi<<waabandizo>>siimwaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,Dub,Neg,giwaabandizosiinaadog,gi<<waabandizo>>siinaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,Dub,Neg,waabandizosiidogena',<<waabandizo>>siidogena',GUESS,waabandizosiidogenan,<<waabandizo>>siidogenan,JDN-2010-MS-VAI-p16,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,Dub,Neg,waabandizosiidogenag,<<waabandizo>>siidogenag,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,Dub,Neg,waabandizosiidogenan,<<waabandizo>>siidogenan,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,Dub,Neg,waabandizosiidog,<<waabandizo>>siidog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,Dub,Neg,niwaabandizosiiminaadog,ni<<waabandizo>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,Dub,Neg,giwaabandizosiiminaadog,gi<<waabandizo>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,DubPrt,Pos,waabandizogwaaban,<<waabandizo>>gwaaban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,DubPrt,Pos,waabandizonigoban,<<waabandizo>>nigoban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,DubPrt,Pos,waabandizogoban,<<waabandizo>>goban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,1SgSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2PlSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,2SgSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlObvSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,DubPrt,Neg,waabandizosiigwaaban,<<waabandizo>>siigwaaban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,DubPrt,Neg,waabandizosiinigoban,<<waabandizo>>siinigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,DubPrt,Neg,waabandizosiigoban,<<waabandizo>>siigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Dub,Neg,waabandisiiwegwen,<<waabandi>>siiwegwen,JDN-2010-MS-VAI-p32,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Dub,Pos,waabandiwegwen,<<waabandi>>wegwen,JDN-2010-MS-VAI-p31,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,DubPrt,Neg,waabandisiiwegibanen,<<waabandi>>siiwegibanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,DubPrt,Pos,waabandiwegibanen,<<waabandi>>wegibanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Prt,Neg,waabandisiwegiban,<<waabandi>>siwegiban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Prt,Pos,waabandiyegiban,<<waabandi>>yegiban,JDN-2010-MS-VAI-p27,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Prt,Pos,giwaabandimwaaban,gi<<waabandi>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Prt,Neg,giwaabandisiimwaaban,gi<<waabandi>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Dub,Pos,giwaabandimwaadog,gi<<waabandi>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,Dub,Neg,giwaabandisiimwaadog,gi<<waabandi>>siimwaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Dub,Neg,waabandisiinigwen,<<waabandi>>siinigwen,JDN-2010-MS-VAI-p32,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Dub,Pos,waabandinigwen,<<waabandi>>nigwen,JDN-2010-MS-VAI-p31,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,DubPrt,Neg,waabandisiinigobanen,<<waabandi>>siinigobanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,DubPrt,Pos,waabandinigobanen,<<waabandi>>nigobanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Prt,Neg,waabandisinigoban,<<waabandi>>sinigoban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Prt,Pos,waabandinipan,<<waabandi>>nipan,JDN-2010-MS-VAI-p27,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Prt,Pos,waabandiibanii',<<waabandi>>V1banii',GUESS,waabandiibaniin,<<waabandi>>V1baniin,JDN-2010-MS-VAI-p11,waabandiibanen,<<waabandi>>V1banen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Prt,Neg,waabandisiibanii',<<waabandi>>siibanii',GUESS,waabandisiibaniin,<<waabandi>>siibaniin,JDN-2010-MS-VAI-p12,waabandisiibanen,<<waabandi>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Dub,Pos,waabandidogena',<<waabandi>>dogena',GUESS,waabandiwidogenan,<<waabandi>>widogenan,JDN-2010-MS-VAI-p15,waabandiwidogena',<<waabandi>>widogena',JDN-2010-MS-VAI-p15
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,Dub,Neg,waabandisiidogena',<<waabandi>>siidogena',GUESS,waabandisiidogenan,<<waabandi>>siidogenan,JDN-2010-MS-VAI-p16,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Dub,Neg,waabandisiiwaagwen,<<waabandi>>siiwaagwen,JDN-2010-MS-VAI-p32,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Dub,Pos,waabandiwaagwen,<<waabandi>>waagwen,JDN-2010-MS-VAI-p31,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,DubPrt,Neg,waabandisiiwaagobanen,<<waabandi>>siiwaagobanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,DubPrt,Pos,waabandiwaagobanen,<<waabandi>>waagobanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Prt,Neg,waabandisigwaaban,<<waabandi>>sigwaaban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Prt,Pos,waabandiwaapan,<<waabandi>>waapan,JDN-2010-MS-VAI-p27,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Prt,Pos,waabandiibaniig,<<waabandi>>V1baniig,JDN-2010-MS-VAI-p11,,,,waabandiibaneg,<<waabandi>>V1baneg,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Prt,Neg,waabandisiibaniig,<<waabandi>>siibaniig,JDN-2010-MS-VAI-p12,,,,waabandisiibaneg,<<waabandi>>siibaneg,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Dub,Pos,waabandiwidogenag,<<waabandi>>widogenag,JDN-2010-MS-VAI-p15,waabandidogenag,<<waabandi>>dogenag,JDN-2010-MS-VAI-p15,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,Dub,Neg,waabandisiidogenag,<<waabandi>>siidogenag,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,DubPrt,Pos,waabandigwaaban,<<waabandi>>gwaaban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,NONE,DubPrt,Neg,waabandisiigwaaban,<<waabandi>>siigwaaban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Dub,Neg,waabandisiiwaangen,<<waabandi>>siiwaangen,JDN-2010-MS-VAI-p32,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Dub,Pos,waabandiwaangen,<<waabandi>>waangen,JDN-2010-MS-VAI-p31,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,DubPrt,Neg,waabandisiiwaangibanen,<<waabandi>>siiwaangibanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,DubPrt,Pos,waabandiwaangibanen,<<waabandi>>waangibanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Prt,Neg,waabandisiwaangiban,<<waabandi>>siwaangiban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Prt,Pos,waabandiyaangiban,<<waabandi>>yaangiban,JDN-2010-MS-VAI-p27,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Prt,Pos,niwaabandiminaaban,ni<<waabandi>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Prt,Neg,niwaabandisiiminaaban,ni<<waabandi>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Dub,Pos,niwaabandiminaadog,ni<<waabandi>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,Dub,Neg,niwaabandisiiminaadog,ni<<waabandi>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Dub,Neg,waabandisiiwangen,<<waabandi>>siiwangen,JDN-2010-MS-VAI-p32,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Dub,Pos,waabandiwangen,<<waabandi>>wangen,JDN-2010-MS-VAI-p31,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,DubPrt,Neg,waabandisiiwangibanen,<<waabandi>>siiwangibanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,DubPrt,Pos,waabandiwangibanen,<<waabandi>>wangibanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Prt,Neg,waabandisiwangiban,<<waabandi>>siwangiban,JDN-2010-MS-VAI-p28,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Prt,Pos,waabandiyangiban,<<waabandi>>yangiban,JDN-2010-MS-VAI-p27,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Prt,Pos,giwaabandiminaaban,gi<<waabandi>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Prt,Neg,giwaabandisiiminaaban,gi<<waabandi>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Dub,Pos,giwaabandiminaadog,gi<<waabandi>>minaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,Dub,Neg,giwaabandisiiminaadog,gi<<waabandi>>siiminaadog,JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,NONE,DubPrt,Neg,MISSING,,,,,,,,
