Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3PlObvSubj,NONE,Dub,Neg,zaaga'anziinigwen,<<zaaga'>>anziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,3PlObvSubj,NONE,Dub,Neg,minongwaanziinigwen,<<minongwaan>>ziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,3PlObvSubj,NONE,Dub,Neg,wanishinziinigwen,<<wanishin>>ziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,3PlObvSubj,NONE,Dub,Neg,nagamosiinigwen,<<nagamo>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,3PlObvSubj,NONE,Dub,Neg,niimisiinigwen,<<niimi>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,3PlObvSubj,NONE,Dub,Neg,maajiibatoosiinigwen,<<maajiibatoo>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,3PlObvSubj,NONE,Dub,Neg,madaabiisiinigwen,<<madaabii>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,3PlObvSubj,NONE,Dub,Neg,nibaasiinigwen,<<nibaa>>siinigwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,3PlObvSubj,NONE,Dub,Neg,webinigesiinigwen,<<webinige>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3PlProxSubj,NONE,Dub,Neg,zaaga'anziiwaagwen,<<zaaga'>>anziiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,3PlProxSubj,NONE,Dub,Neg,minongwaanziiwaagwen,<<minongwaan>>ziiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,3PlProxSubj,NONE,Dub,Neg,wanishinziiwaagwen,<<wanishin>>ziiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,3PlProxSubj,NONE,Dub,Neg,nagamosiiwaagwen,<<nagamo>>siiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,3PlProxSubj,NONE,Dub,Neg,niimisiiwaagwen,<<niimi>>siiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,3PlProxSubj,NONE,Dub,Neg,maajiibatoosiiwaagwen,<<maajiibatoo>>siiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,3PlProxSubj,NONE,Dub,Neg,madaabiisiiwaagwen,<<madaabii>>siiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,3PlProxSubj,NONE,Dub,Neg,nibaasiiwaagwen,<<nibaa>>siiwaagwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,3PlProxSubj,NONE,Dub,Neg,webinigesiiwaagwen,<<webinige>>siiwaagwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3SgObvSubj,NONE,Dub,Neg,zaaga'anziinigwen,<<zaaga'>>anziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,3SgObvSubj,NONE,Dub,Neg,minongwaanziinigwen,<<minongwaan>>ziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,3SgObvSubj,NONE,Dub,Neg,wanishinziinigwen,<<wanishin>>ziinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,3SgObvSubj,NONE,Dub,Neg,nagamosiinigwen,<<nagamo>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,3SgObvSubj,NONE,Dub,Neg,niimisiinigwen,<<niimi>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,3SgObvSubj,NONE,Dub,Neg,maajiibatoosiinigwen,<<maajiibatoo>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,3SgObvSubj,NONE,Dub,Neg,madaabiisiinigwen,<<madaabii>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,3SgObvSubj,NONE,Dub,Neg,nibaasiinigwen,<<nibaa>>siinigwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,3SgObvSubj,NONE,Dub,Neg,webinigesiinigwen,<<webinige>>siinigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,3SgProxSubj,NONE,Dub,Neg,zaaga'anziigwen,<<zaaga'>>anziigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,3SgProxSubj,NONE,Dub,Neg,minongwaanziigwen,<<minongwaan>>ziigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,3SgProxSubj,NONE,Dub,Neg,wanishinziigwen,<<wanishin>>ziigwen,JDN-2010-MS-VAI-p32,,,
