Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Neu,Neg,ayaanzig,<<ayaa>>nzig,JDN-2010-MS-VTI-p28,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Sg,Neu,Neg,ayaanziwaang,<<ayaa>>nziwaang,JDN-2010-MS-VTI-p28,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Pl,Neu,Neg,ayaanziwaang,<<ayaa>>nziwaang,JDN-2010-MS-VTI-p28,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Sg,Neu,Neg,ayaanziwang,<<ayaa>>nziwang,JDN-2010-MS-VTI-p28,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Pl,Neu,Neg,ayaanziwang,<<ayaa>>nziwang,JDN-2010-MS-VTI-p28,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Sg,Neu,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Pl,Neu,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Sg,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Pl,Prt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Sg,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Pl,Prt,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Sg,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Pl,Dub,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Excl,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,Incl,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Sg,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,X,0Pl,Dub,Neg,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,DubPrt,Pos,MISSING,,,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,DubPrt,Pos,MISSING,,,,,
