,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
142,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,ginishiinsiming,g<<nishiw2>>V1nsiming,JDN-2010-Nouns,,,
143,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,ginishiinsimiwaang,g<<nishiw2>>V1nsimiwaang,JDN-2010-Nouns,,,
144,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,onishiinsiming,w<<nishiw2>>V1nsiming,JDN-2010-Nouns,,,
145,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimiwaang,w<<nishiw2>>V1nsimiwaang,JDN-2010-Nouns,,,
146,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimining,w<<nishiw2>>V1nsimining,JDN-2010-Nouns,,,
147,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimining,w<<nishiw2>>V1nsimining,GUESS,,,
176,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,ninishiwishing,n<<nishiw2>>ishing,JDN-2010-Nouns,,,
177,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,NONE,NONE,Pej,NONE,Loc,ninishiwishinaang,n<<nishiw2>>ishinaang,JDN-2010-Nouns,,,
178,NAD,NAD_Vw,nishi,nishiw2,InclPoss,NONE,NONE,Pej,NONE,Loc,ginishiwishinaang,g<<nishiw2>>ishinaang,JDN-2010-Nouns,,,
179,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,NONE,NONE,Pej,NONE,Loc,ginishiwishing,g<<nishiw2>>ishing,JDN-2010-Nouns,,,
180,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,NONE,NONE,Pej,NONE,Loc,ginishiwishiwaang,g<<nishiw2>>ishiwaang,JDN-2010-Nouns,,,
181,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,onishiwishing,w<<nishiw2>>ishing,JDN-2010-Nouns,,,
182,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,onishiwishiwaang,w<<nishiw2>>ishiwaang,JDN-2010-Nouns,,,
183,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,onishiwishining,w<<nishiw2>>ishining,JDN-2010-Nouns,,,
184,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,onishiwishining,w<<nishiw2>>ishining,GUESS,,,
213,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,ninishiimishing,n<<nishiw2>>V1mishing,JDN-2010-Nouns,,,
214,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,NONE,Poss,Pej,NONE,Loc,ninishiimishinaang,n<<nishiw2>>V1mishinaang,JDN-2010-Nouns,,,
215,NAD,NAD_Vw,nishi,nishiw2,InclPoss,NONE,Poss,Pej,NONE,Loc,ginishiimishinaang,g<<nishiw2>>V1mishinaang,JDN-2010-Nouns,,,
216,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,NONE,Poss,Pej,NONE,Loc,ginishiimishing,g<<nishiw2>>V1mishing,JDN-2010-Nouns,,,
217,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,NONE,Poss,Pej,NONE,Loc,ginishiimishiwaang,g<<nishiw2>>V1mishiwaang,JDN-2010-Nouns,,,
218,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,onishiimishing,w<<nishiw2>>V1mishing,JDN-2010-Nouns,,,
219,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,onishiimishiwaang,w<<nishiw2>>V1mishiwaang,JDN-2010-Nouns,,,
220,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,onishiimishining,w<<nishiw2>>V1mishining,JDN-2010-Nouns,,,
221,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,onishiimishining,w<<nishiw2>>V1mishining,GUESS,,,
362,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,ninishiinzhishing,n<<nishiw2>>V1nzhishing,JDN-2010-Nouns,,,
