Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,odishkodensimiwaan,o<<ishkodew2>>nsimiwaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,odishkodensimini,o<<ishkodew2>>nsimini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,odishkodensimini,o<<ishkodew2>>nsimini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,Dim,Poss,NONE,NONE,Sg,nindishkodensim,ni<<ishkodew2>>nsim,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,Dim,Poss,NONE,NONE,Sg,nindishkodensiminaan,ni<<ishkodew2>>nsiminaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,Dim,Poss,NONE,NONE,Sg,gidishkodensiminaan,gi<<ishkodew2>>nsiminaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,Dim,Poss,NONE,NONE,Sg,gidishkodensim,gi<<ishkodew2>>nsim,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,Dim,Poss,NONE,NONE,Sg,gidishkodensimiwaa,gi<<ishkodew2>>nsimiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,Dim,Poss,NONE,NONE,Sg,odishkodensim,o<<ishkodew2>>nsim,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Sg,odishkodensimiwaa,o<<ishkodew2>>nsimiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Sg,odishkodensimini,o<<ishkodew2>>nsimini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Sg,odishkodensimini,o<<ishkodew2>>nsimini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindishkodensiming,ni<<ishkodew2>>nsiming,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,Dim,Poss,NONE,NONE,Loc,nindishkodensiminaang,ni<<ishkodew2>>nsiminaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,Dim,Poss,NONE,NONE,Loc,gidishkodensiminaang,gi<<ishkodew2>>nsiminaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidishkodensiming,gi<<ishkodew2>>nsiming,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidishkodensimiwaang,gi<<ishkodew2>>nsimiwaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odishkodensiming,o<<ishkodew2>>nsiming,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odishkodensimiwaang,o<<ishkodew2>>nsimiwaang,JDN-2010-Nouns
