Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NA,VV-final*,anishinaabe,<<anishinaabew2>>,DIM,anishinaabens,<<anishinaabew2>>ns,OPD
NA,VV-final*,anishinaabe,<<anishinaabew2>>,PEJ,anishinaabewish,<<anishinaabew2>>ish,OPD
NA,VV-final*,anishinaabe,<<anishinaabew2>>,ProxSg,anishinaabe,<<anishinaabew2>>,OPD
NA,VV-final*,anishinaabe,<<anishinaabew2>>,ProxPl,anishinaabeg,<<anishinaabew2>>g,OPD
NA,VV-final*,anishinaabe,<<anishinaabew2>>,LOC,anishinaabeng,<<anishinaabew2>>ng,JDN2011
NA,VV-final*,anishinaabe,<<anishinaabew2>>,PRET,anishinaabeban,<<anishinaabew2>>ban,JDN2011
NA,VV-final*,anishinaabe,<<anishinaabew2>>,ObvSg,anishinaaben,<<anishinaabew2>>n,JDN2011
NA,VV-final*,anishinaabe,<<anishinaabew2>>,ObvPl,anishinaabe',<<anishinaabew2>>',inferred
