,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
38,NI,NI_C,jiimaan,jiimaan,InclPoss,NONE,NONE,NONE,NONE,Loc,gijiimaaninaang,gi<<jiimaan>>inaang,JDN-2010-Nouns
39,NI,NI_C,jiimaan,jiimaan,2SgPoss,NONE,NONE,NONE,NONE,Loc,gijiimaaning,gi<<jiimaan>>ing,JDN-2010-Nouns
40,NI,NI_C,jiimaan,jiimaan,2PlPoss,NONE,NONE,NONE,NONE,Loc,gijiimaaniwaang,gi<<jiimaan>>iwaang,JDN-2010-Nouns
41,NI,NI_C,jiimaan,jiimaan,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,ojiimaaning,o<<jiimaan>>ing,JDN-2010-Nouns
42,NI,NI_C,jiimaan,jiimaan,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,ojiimaaniwaang,o<<jiimaan>>iwaang,JDN-2010-Nouns
43,NI,NI_C,jiimaan,jiimaan,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,ojiimaanining,o<<jiimaan>>ining,JDN-2010-Nouns
44,NI,NI_C,jiimaan,jiimaan,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,ojiimaanining,o<<jiimaan>>ining,GUESS
45,NI,NI_C,jiimaan,jiimaan,1SgPoss,NONE,Poss,NONE,NONE,Pl,ninjiimaaniman,ni<<jiimaan>>iman,JDN-2010-Nouns
46,NI,NI_C,jiimaan,jiimaan,ExclPoss,NONE,Poss,NONE,NONE,Pl,ninjiimaaniminaanin,ni<<jiimaan>>iminaanin,JDN-2010-Nouns
47,NI,NI_C,jiimaan,jiimaan,InclPoss,NONE,Poss,NONE,NONE,Pl,gijiimaaniminaanin,gi<<jiimaan>>iminaanin,JDN-2010-Nouns
48,NI,NI_C,jiimaan,jiimaan,2SgPoss,NONE,Poss,NONE,NONE,Pl,gijiimaaniman,gi<<jiimaan>>iman,JDN-2010-Nouns
49,NI,NI_C,jiimaan,jiimaan,2PlPoss,NONE,Poss,NONE,NONE,Pl,gijiimaanimiwaan,gi<<jiimaan>>imiwaan,JDN-2010-Nouns
50,NI,NI_C,jiimaan,jiimaan,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,ojiimaaniman,o<<jiimaan>>iman,JDN-2010-Nouns
51,NI,NI_C,jiimaan,jiimaan,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,ojiimaanimiwaan,o<<jiimaan>>imiwaan,JDN-2010-Nouns
52,NI,NI_C,jiimaan,jiimaan,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,ojiimaanimini,o<<jiimaan>>iminiw1,JDN-2010-Nouns
53,NI,NI_C,jiimaan,jiimaan,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,ojiimaanimini,o<<jiimaan>>iminiw1,GUESS
54,NI,NI_C,jiimaan,jiimaan,1SgPoss,NONE,Poss,NONE,NONE,Sg,ninjiimaanim,ni<<jiimaan>>im,JDN-2010-Nouns
55,NI,NI_C,jiimaan,jiimaan,ExclPoss,NONE,Poss,NONE,NONE,Sg,ninjiimaaniminaan,ni<<jiimaan>>iminaan,JDN-2010-Nouns
56,NI,NI_C,jiimaan,jiimaan,InclPoss,NONE,Poss,NONE,NONE,Sg,gijiimaaniminaan,gi<<jiimaan>>iminaan,JDN-2010-Nouns
57,NI,NI_C,jiimaan,jiimaan,2SgPoss,NONE,Poss,NONE,NONE,Sg,gijiimaanim,gi<<jiimaan>>im,JDN-2010-Nouns
58,NI,NI_C,jiimaan,jiimaan,2PlPoss,NONE,Poss,NONE,NONE,Sg,gijiimaanimiwaa,gi<<jiimaan>>imiwaa,JDN-2010-Nouns
59,NI,NI_C,jiimaan,jiimaan,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,ojiimaanim,o<<jiimaan>>im,JDN-2010-Nouns
60,NI,NI_C,jiimaan,jiimaan,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,ojiimaanimiwaa,o<<jiimaan>>imiwaa,JDN-2010-Nouns
61,NI,NI_C,jiimaan,jiimaan,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,ojiimaanimini,o<<jiimaan>>iminiw1,JDN-2010-Nouns
62,NI,NI_C,jiimaan,jiimaan,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,ojiimaanimini,o<<jiimaan>>iminiw1,GUESS
63,NI,NI_C,jiimaan,jiimaan,1SgPoss,NONE,Poss,NONE,NONE,Loc,ninjiimaaniming,ni<<jiimaan>>iming,JDN-2010-Nouns
64,NI,NI_C,jiimaan,jiimaan,ExclPoss,NONE,Poss,NONE,NONE,Loc,ninjiimaaniminaang,ni<<jiimaan>>iminaang,JDN-2010-Nouns
65,NI,NI_C,jiimaan,jiimaan,InclPoss,NONE,Poss,NONE,NONE,Loc,gijiimaaniminaang,gi<<jiimaan>>iminaang,JDN-2010-Nouns
66,NI,NI_C,jiimaan,jiimaan,2SgPoss,NONE,Poss,NONE,NONE,Loc,gijiimaaniming,gi<<jiimaan>>iming,JDN-2010-Nouns
67,NI,NI_C,jiimaan,jiimaan,2PlPoss,NONE,Poss,NONE,NONE,Loc,gijiimaanimiwaang,gi<<jiimaan>>imiwaang,JDN-2010-Nouns
68,NI,NI_C,jiimaan,jiimaan,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,ojiimaaniming,o<<jiimaan>>iming,JDN-2010-Nouns
69,NI,NI_C,jiimaan,jiimaan,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,ojiimaanimiwaang,o<<jiimaan>>imiwaang,JDN-2010-Nouns
70,NI,NI_C,jiimaan,jiimaan,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,ojiimaanimining,o<<jiimaan>>imining,JDN-2010-Nouns
71,NI,NI_C,jiimaan,jiimaan,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,ojiimaanimining,o<<jiimaan>>imining,GUESS
72,NI,NI_C,jiimaan,jiimaan,1SgPoss,Dim,NONE,NONE,NONE,Pl,ninjiimaanensan,ni<<jiimaan>>ensan,JDN-2010-Nouns
73,NI,NI_C,jiimaan,jiimaan,ExclPoss,Dim,NONE,NONE,NONE,Pl,ninjiimaanensinaanin,ni<<jiimaan>>ensinaanin,JDN-2010-Nouns
74,NI,NI_C,jiimaan,jiimaan,InclPoss,Dim,NONE,NONE,NONE,Pl,gijiimaanensinaanin,gi<<jiimaan>>ensinaanin,JDN-2010-Nouns
75,NI,NI_C,jiimaan,jiimaan,2SgPoss,Dim,NONE,NONE,NONE,Pl,gijiimaanensan,gi<<jiimaan>>ensan,JDN-2010-Nouns
76,NI,NI_C,jiimaan,jiimaan,2PlPoss,Dim,NONE,NONE,NONE,Pl,gijiimaanensiwaan,gi<<jiimaan>>ensiwaan,JDN-2010-Nouns
77,NI,NI_C,jiimaan,jiimaan,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,ojiimaanensan,o<<jiimaan>>ensan,JDN-2010-Nouns
78,NI,NI_C,jiimaan,jiimaan,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,ojiimaanensiwaan,o<<jiimaan>>ensiwaan,JDN-2010-Nouns
79,NI,NI_C,jiimaan,jiimaan,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,ojiimaanensini,o<<jiimaan>>ensiniw1,JDN-2010-Nouns
80,NI,NI_C,jiimaan,jiimaan,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,ojiimaanensini,o<<jiimaan>>ensiniw1,GUESS
81,NI,NI_C,jiimaan,jiimaan,1SgPoss,Dim,NONE,NONE,NONE,Sg,ninjiimaanens,ni<<jiimaan>>ens,JDN-2010-Nouns
