Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NI,AA-Augment,mashkimod,<<mashkimod>>,DIM,mashkimodens,<<mashkimod>>ens,OPD
NI,AA-Augment,mashkimod,<<mashkimod>>,PEJ,mashkimodaash,<<mashkimod>>aash,JDN2011
NI,AA-Augment,mashkimod,<<mashkimod>>,Sg,mashkimod,<<mashkimod>>,OPD
NI,AA-Augment,mashkimod,<<mashkimod>>,Pl,mashkimodan,<<mashkimod>>an,OPD
NI,AA-Augment,mashkimod,<<mashkimod>>,LOC,mashkimodaang,<<mashkimod>>aang,JDN2011
NI,AA-Augment,mashkimod,<<mashkimod>>,PRET,NA,NA,NA
