Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,ogidigoman,w<<gidigw2>>oman,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,ogidigomiwaan,w<<gidigw2>>omiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,ogidigomini,w<<gidigw2>>ominiw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,ogidigomini,w<<gidigw2>>ominiw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,Poss,NONE,NONE,Sg,nigidigom,n<<gidigw2>>om,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,Poss,NONE,NONE,Sg,nigidigominaan,n<<gidigw2>>ominaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,Poss,NONE,NONE,Sg,gigidigominaan,g<<gidigw2>>ominaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,Poss,NONE,NONE,Sg,gigidigom,g<<gidigw2>>om,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,Poss,NONE,NONE,Sg,gigidigomiwaa,g<<gidigw2>>omiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,ogidigom,w<<gidigw2>>om,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,ogidigomiwaa,w<<gidigw2>>omiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,ogidigomini,w<<gidigw2>>ominiw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,ogidigomini,w<<gidigw2>>ominiw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,Poss,NONE,NONE,Loc,nigidigoming,n<<gidigw2>>oming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,Poss,NONE,NONE,Loc,nigidigominaang,n<<gidigw2>>ominaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,Poss,NONE,NONE,Loc,gigidigominaang,g<<gidigw2>>ominaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,Poss,NONE,NONE,Loc,gigidigoming,g<<gidigw2>>oming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,Poss,NONE,NONE,Loc,gigidigomiwaang,g<<gidigw2>>omiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,ogidigoming,w<<gidigw2>>oming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,ogidigomiwaang,w<<gidigw2>>omiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,ogidigomining,w<<gidigw2>>omining,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,ogidigomining,w<<gidigw2>>omining,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,NONE,NONE,NONE,Pl,nigidigoonsan,n<<gidigw2>>oonsan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,NONE,NONE,NONE,Pl,nigidigoonsinaanin,n<<gidigw2>>oonsinaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,NONE,NONE,NONE,Pl,gigidigoonsinaanin,g<<gidigw2>>oonsinaanin,JDN-2010-Nouns
