,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
37,NI,NI_C,mishi,mis1,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimisinaang,ni<<mis1>>inaang,JDN-2010-Nouns
38,NI,NI_C,mishi,mis1,InclPoss,NONE,NONE,NONE,NONE,Loc,gimisinaang,gi<<mis1>>inaang,JDN-2010-Nouns
39,NI,NI_C,mishi,mis1,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimising,gi<<mis1>>ing,JDN-2010-Nouns
40,NI,NI_C,mishi,mis1,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimisiwaang,gi<<mis1>>iwaang,JDN-2010-Nouns
41,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,omising,o<<mis1>>ing,JDN-2010-Nouns
42,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,omisiwaang,o<<mis1>>iwaang,JDN-2010-Nouns
43,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,omisining,o<<mis1>>ining,JDN-2010-Nouns
44,NI,NI_C,mishi,mis1,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,omisining,o<<mis1>>ining,GUESS
45,NI,NI_C,mishi,mis1,1SgPoss,NONE,Poss,NONE,NONE,Pl,nimisiman,ni<<mis1>>iman,JDN-2010-Nouns
46,NI,NI_C,mishi,mis1,ExclPoss,NONE,Poss,NONE,NONE,Pl,nimisiminaanin,ni<<mis1>>iminaanin,JDN-2010-Nouns
47,NI,NI_C,mishi,mis1,InclPoss,NONE,Poss,NONE,NONE,Pl,gimisiminaanin,gi<<mis1>>iminaanin,JDN-2010-Nouns
48,NI,NI_C,mishi,mis1,2SgPoss,NONE,Poss,NONE,NONE,Pl,gimisiman,gi<<mis1>>iman,JDN-2010-Nouns
49,NI,NI_C,mishi,mis1,2PlPoss,NONE,Poss,NONE,NONE,Pl,gimisimiwaan,gi<<mis1>>imiwaan,JDN-2010-Nouns
50,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,omisiman,o<<mis1>>iman,JDN-2010-Nouns
51,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,omisimiwaan,o<<mis1>>imiwaan,JDN-2010-Nouns
52,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,omisimini,o<<mis1>>iminiw1,JDN-2010-Nouns
53,NI,NI_C,mishi,mis1,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,omisimini,o<<mis1>>iminiw1,GUESS
54,NI,NI_C,mishi,mis1,1SgPoss,NONE,Poss,NONE,NONE,Sg,nimisim,ni<<mis1>>im,JDN-2010-Nouns
55,NI,NI_C,mishi,mis1,ExclPoss,NONE,Poss,NONE,NONE,Sg,nimisiminaan,ni<<mis1>>iminaan,JDN-2010-Nouns
56,NI,NI_C,mishi,mis1,InclPoss,NONE,Poss,NONE,NONE,Sg,gimisiminaan,gi<<mis1>>iminaan,JDN-2010-Nouns
57,NI,NI_C,mishi,mis1,2SgPoss,NONE,Poss,NONE,NONE,Sg,gimisim,gi<<mis1>>im,JDN-2010-Nouns
58,NI,NI_C,mishi,mis1,2PlPoss,NONE,Poss,NONE,NONE,Sg,gimisimiwaa,gi<<mis1>>imiwaa,JDN-2010-Nouns
59,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,omisim,o<<mis1>>im,JDN-2010-Nouns
60,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,omisimiwaa,o<<mis1>>imiwaa,JDN-2010-Nouns
61,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,omisimini,o<<mis1>>iminiw1,JDN-2010-Nouns
62,NI,NI_C,mishi,mis1,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,omisimini,o<<mis1>>iminiw1,GUESS
63,NI,NI_C,mishi,mis1,1SgPoss,NONE,Poss,NONE,NONE,Loc,nimisiming,ni<<mis1>>iming,JDN-2010-Nouns
64,NI,NI_C,mishi,mis1,ExclPoss,NONE,Poss,NONE,NONE,Loc,nimisiminaang,ni<<mis1>>iminaang,JDN-2010-Nouns
65,NI,NI_C,mishi,mis1,InclPoss,NONE,Poss,NONE,NONE,Loc,gimisiminaang,gi<<mis1>>iminaang,JDN-2010-Nouns
66,NI,NI_C,mishi,mis1,2SgPoss,NONE,Poss,NONE,NONE,Loc,gimisiming,gi<<mis1>>iming,JDN-2010-Nouns
67,NI,NI_C,mishi,mis1,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimisimiwaang,gi<<mis1>>imiwaang,JDN-2010-Nouns
68,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,omisiming,o<<mis1>>iming,JDN-2010-Nouns
69,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,omisimiwaang,o<<mis1>>imiwaang,JDN-2010-Nouns
70,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,omisimining,o<<mis1>>imining,JDN-2010-Nouns
71,NI,NI_C,mishi,mis1,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,omisimining,o<<mis1>>imining,GUESS
72,NI,NI_C,mishi,mis1,1SgPoss,Dim,NONE,NONE,NONE,Pl,nimisensan,ni<<mis1>>ensan,JDN-2010-Nouns
73,NI,NI_C,mishi,mis1,ExclPoss,Dim,NONE,NONE,NONE,Pl,nimisensinaanin,ni<<mis1>>ensinaanin,JDN-2010-Nouns
74,NI,NI_C,mishi,mis1,InclPoss,Dim,NONE,NONE,NONE,Pl,gimisensinaanin,gi<<mis1>>ensinaanin,JDN-2010-Nouns
75,NI,NI_C,mishi,mis1,2SgPoss,Dim,NONE,NONE,NONE,Pl,gimisensan,gi<<mis1>>ensan,JDN-2010-Nouns
76,NI,NI_C,mishi,mis1,2PlPoss,Dim,NONE,NONE,NONE,Pl,gimisensiwaan,gi<<mis1>>ensiwaan,JDN-2010-Nouns
77,NI,NI_C,mishi,mis1,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,omisensan,o<<mis1>>ensan,JDN-2010-Nouns
78,NI,NI_C,mishi,mis1,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,omisensiwaan,o<<mis1>>ensiwaan,JDN-2010-Nouns
79,NI,NI_C,mishi,mis1,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,omisensini,o<<mis1>>ensiniw1,JDN-2010-Nouns
80,NI,NI_C,mishi,mis1,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,omisensini,o<<mis1>>ensiniw1,GUESS
81,NI,NI_C,mishi,mis1,1SgPoss,Dim,NONE,NONE,NONE,Sg,nimisens,ni<<mis1>>ens,JDN-2010-Nouns
82,NI,NI_C,mishi,mis1,ExclPoss,Dim,NONE,NONE,NONE,Sg,nimisensinaan,ni<<mis1>>ensinaan,JDN-2010-Nouns
83,NI,NI_C,mishi,mis1,InclPoss,Dim,NONE,NONE,NONE,Sg,gimisensinaan,gi<<mis1>>ensinaan,JDN-2010-Nouns
84,NI,NI_C,mishi,mis1,2SgPoss,Dim,NONE,NONE,NONE,Sg,gimisens,gi<<mis1>>ens,JDN-2010-Nouns
85,NI,NI_C,mishi,mis1,2PlPoss,Dim,NONE,NONE,NONE,Sg,gimisensiwaa,gi<<mis1>>ensiwaa,JDN-2010-Nouns
86,NI,NI_C,mishi,mis1,3SgProxPoss,Dim,NONE,NONE,NONE,Sg,omisens,o<<mis1>>ens,JDN-2010-Nouns
87,NI,NI_C,mishi,mis1,3PlProxPoss,Dim,NONE,NONE,NONE,Sg,omisensiwaa,o<<mis1>>ensiwaa,JDN-2010-Nouns
88,NI,NI_C,mishi,mis1,3SgObvPoss,Dim,NONE,NONE,NONE,Sg,omisensini,o<<mis1>>ensiniw1,JDN-2010-Nouns
89,NI,NI_C,mishi,mis1,3PlObvPoss,Dim,NONE,NONE,NONE,Sg,omisensini,o<<mis1>>ensiniw1,GUESS
90,NI,NI_C,mishi,mis1,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimisensing,ni<<mis1>>ensing,JDN-2010-Nouns
91,NI,NI_C,mishi,mis1,ExclPoss,Dim,NONE,NONE,NONE,Loc,nimisensinaang,ni<<mis1>>ensinaang,JDN-2010-Nouns
92,NI,NI_C,mishi,mis1,InclPoss,Dim,NONE,NONE,NONE,Loc,gimisensinaang,gi<<mis1>>ensinaang,JDN-2010-Nouns
