,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
36,NI,NI_kana,miikana,miikan,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimiikanaang,ni<<miikan>>aang,OPD,,,
37,NI,NI_kana,miikana,miikan,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimiikanaanaang,ni<<miikan>>aanaang,OPD,,,
38,NI,NI_kana,miikana,miikan,InclPoss,NONE,NONE,NONE,NONE,Loc,gimiikanaanaang,gi<<miikan>>aanaang,OPD,,,
39,NI,NI_kana,miikana,miikan,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimiikanaang,gi<<miikan>>aang,OPD,,,
40,NI,NI_kana,miikana,miikan,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimiikanaawaang,gi<<miikan>>aawaang,OPD,,,
41,NI,NI_kana,miikana,miikan,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,omiikanaang,o<<miikan>>aang,OPD,,,
42,NI,NI_kana,miikana,miikan,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,omiikanaawaang,o<<miikan>>aawaang,OPD,,,
43,NI,NI_kana,miikana,miikan,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,omiikanaaning,o<<miikan>>aaning,OPD,,,
44,NI,NI_kana,miikana,miikan,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,omiikanaaning,o<<miikan>>aaning,GUESS,,,
45,NI,NI_kana,miikana,miikan,1SgPoss,NONE,Poss,NONE,NONE,Pl,nimiikanaaman,ni<<miikan>>aaman,OPD,,,
46,NI,NI_kana,miikana,miikan,ExclPoss,NONE,Poss,NONE,NONE,Pl,nimiikanaaminaanin,ni<<miikan>>aaminaanin,OPD,,,
47,NI,NI_kana,miikana,miikan,InclPoss,NONE,Poss,NONE,NONE,Pl,gimiikanaaminaanin,gi<<miikan>>aaminaanin,OPD,,,
48,NI,NI_kana,miikana,miikan,2SgPoss,NONE,Poss,NONE,NONE,Pl,gimiikanaaman,gi<<miikan>>aaman,OPD,,,
49,NI,NI_kana,miikana,miikan,2PlPoss,NONE,Poss,NONE,NONE,Pl,gimiikanaamiwaan,gi<<miikan>>aamiwaan,OPD,,,
50,NI,NI_kana,miikana,miikan,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,omiikanaaman,o<<miikan>>aaman,OPD,,,
51,NI,NI_kana,miikana,miikan,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,omiikanaamiwaan,o<<miikan>>aamiwaan,OPD,,,
52,NI,NI_kana,miikana,miikan,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,omiikanaamini,o<<miikan>>aaminiw1,OPD,,,
