Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gimashkikiinsing,gi<<mashkikiw2>>V1nsing,JDN-2010-Nouns,gimashkikiwensing,gi<<mashkikiw2>>ensing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimashkikiinsiwaang,gi<<mashkikiw2>>V1nsiwaang,JDN-2010-Nouns,gimashkikiwensiwaang,gi<<mashkikiw2>>ensiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,omashkikiinsing,o<<mashkikiw2>>V1nsing,JDN-2010-Nouns,omashkikiwensing,o<<mashkikiw2>>ensing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,omashkikiinsiwaang,o<<mashkikiw2>>V1nsiwaang,JDN-2010-Nouns,omashkikiwensiwaang,o<<mashkikiw2>>ensiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,omashkikiinsining,o<<mashkikiw2>>V1nsining,JDN-2010-Nouns,omashkikiwensining,o<<mashkikiw2>>ensining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omashkikiinsining,o<<mashkikiw2>>V1nsining,GUESS,omashkikiwensining,o<<mashkikiw2>>ensining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimashkikiinsiming,ni<<mashkikiw2>>V1nsiming,JDN-2010-Nouns,nimashkikiwensiming,ni<<mashkikiw2>>ensiming,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimashkikiinsiminaang,ni<<mashkikiw2>>V1nsiminaang,JDN-2010-Nouns,nimashkikiwensiminaang,ni<<mashkikiw2>>ensiminaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,Dim,Poss,NONE,NONE,Loc,gimashkikiinsiminaang,gi<<mashkikiw2>>V1nsiminaang,JDN-2010-Nouns,gimashkikiwensiminaang,gi<<mashkikiw2>>ensiminaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimashkikiinsiming,gi<<mashkikiw2>>V1nsiming,JDN-2010-Nouns,gimashkikiwensiming,gi<<mashkikiw2>>ensiming,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimashkikiinsimiwaang,gi<<mashkikiw2>>V1nsimiwaang,JDN-2010-Nouns,gimashkikiwensimiwaang,gi<<mashkikiw2>>ensimiwaang,GUESS
