Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omashkimodensining,o<<mashkimod>>ensining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimashkimodensiming,ni<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimashkimodensiminaang,ni<<mashkimod>>ensiminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensiminaang,gi<<mashkimod>>ensiminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensiming,gi<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensimiwaang,gi<<mashkimod>>ensimiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensiming,o<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimiwaang,o<<mashkimod>>ensimiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimining,o<<mashkimod>>ensimining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimining,o<<mashkimod>>ensimining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimashkimodaashing,ni<<mashkimod>>aashing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimashkimodaashinaang,ni<<mashkimod>>aashinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,Pej,NONE,Loc,gimashkimodaashinaang,gi<<mashkimod>>aashinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,NONE,Pej,NONE,Loc,gimashkimodaashing,gi<<mashkimod>>aashing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimashkimodaashiwaang,gi<<mashkimod>>aashiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,omashkimodaashing,o<<mashkimod>>aashing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,omashkimodaashiwaang,o<<mashkimod>>aashiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,omashkimodaashining,o<<mashkimod>>aashining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,omashkimodaashining,o<<mashkimod>>aashining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,Poss,Pej,NONE,Loc,nimashkimodaamishing,ni<<mashkimod>>aamishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,Poss,Pej,NONE,Loc,nimashkimodaamishinaang,ni<<mashkimod>>aamishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,Poss,Pej,NONE,Loc,gimashkimodaamishinaang,gi<<mashkimod>>aamishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,Poss,Pej,NONE,Loc,gimashkimodaamishing,gi<<mashkimod>>aamishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimashkimodaamishiwaang,gi<<mashkimod>>aamishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,omashkimodaamishing,o<<mashkimod>>aamishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,omashkimodaamishiwaang,o<<mashkimod>>aamishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,omashkimodaamishining,o<<mashkimod>>aamishining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,omashkimodaamishining,o<<mashkimod>>aamishining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimashkimodenzhishing,ni<<mashkimod>>enzhishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimashkimodenzhishinaang,ni<<mashkimod>>enzhishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,NONE,Pej,NONE,Loc,gimashkimodenzhishinaang,gi<<mashkimod>>enzhishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimashkimodenzhishing,gi<<mashkimod>>enzhishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimashkimodenzhishiwaang,gi<<mashkimod>>enzhishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omashkimodenzhishing,o<<mashkimod>>enzhishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omashkimodenzhishiwaang,o<<mashkimod>>enzhishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omashkimodenzhishining,o<<mashkimod>>enzhishining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omashkimodenzhishining,o<<mashkimod>>enzhishining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimashkimodensimishing,ni<<mashkimod>>ensimishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,Poss,Pej,NONE,Loc,nimashkimodensimishinaang,ni<<mashkimod>>ensimishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,Poss,Pej,NONE,Loc,gimashkimodensimishinaang,gi<<mashkimod>>ensimishinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,Poss,Pej,NONE,Loc,gimashkimodensimishing,gi<<mashkimod>>ensimishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimashkimodensimishiwaang,gi<<mashkimod>>ensimishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,omashkimodensimishing,o<<mashkimod>>ensimishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,omashkimodensimishiwaang,o<<mashkimod>>ensimishiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,omashkimodensimishining,o<<mashkimod>>ensimishining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,omashkimodensimishining,o<<mashkimod>>ensimishining,GUESS
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,NONE,NONE,Pl,mashkimodan,<<mashkimod>>an,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,NONE,NONE,Pl,mashkimodensan,<<mashkimod>>ensan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,Pej,NONE,Pl,mashkimodaashan,<<mashkimod>>aashan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,NONE,Pret,Pl,mashkimodaabaniin,<<mashkimod>>aabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,Pej,NONE,Pl,mashkimodenzhishan,<<mashkimod>>enzhishan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,NONE,Pret,Pl,mashkimodensibaniin,<<mashkimod>>ensibaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,NONE,NONE,Pl,nimashkimodan,ni<<mashkimod>>an,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,NONE,NONE,Pl,nimashkimodaanaanin,ni<<mashkimod>>aanaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,NONE,NONE,Pl,gimashkimodaanaanin,gi<<mashkimod>>aanaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,NONE,NONE,NONE,Pl,gimashkimodan,gi<<mashkimod>>an,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,NONE,NONE,NONE,Pl,gimashkimodaawaan,gi<<mashkimod>>aawaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,omashkimodan,o<<mashkimod>>an,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,omashkimodaawaan,o<<mashkimod>>aawaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,omashkimodaani,o<<mashkimod>>aaniw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,omashkimodaani,o<<mashkimod>>aaniw1,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,Poss,NONE,NONE,Pl,nimashkimodaaman,ni<<mashkimod>>aaman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,Poss,NONE,NONE,Pl,nimashkimodaaminaanin,ni<<mashkimod>>aaminaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,Poss,NONE,NONE,Pl,gimashkimodaaminaanin,gi<<mashkimod>>aaminaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,Poss,NONE,NONE,Pl,gimashkimodaaman,gi<<mashkimod>>aaman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,Poss,NONE,NONE,Pl,gimashkimodaamiwaan,gi<<mashkimod>>aamiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,omashkimodaaman,o<<mashkimod>>aaman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,omashkimodaamiwaan,o<<mashkimod>>aamiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,omashkimodaamini,o<<mashkimod>>aaminiw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,omashkimodaamini,o<<mashkimod>>aaminiw1,GUESS
