,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
41,NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,ProxSg,ginaanensiwaa,g<<naan>>ensiwaa,JDN-2010-Nouns
42,NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,ProxPl,ninaanensag,n<<naan>>ensag,JDN-2010-Nouns
43,NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,ProxPl,ninaanensinaanig,n<<naan>>ensinaanig,JDN-2010-Nouns
44,NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,ProxPl,ginaanensinaanig,g<<naan>>ensinaanig,JDN-2010-Nouns
45,NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,ProxPl,ginaanensag,g<<naan>>ensag,JDN-2010-Nouns
46,NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,ProxPl,ginaanensiwaag,g<<naan>>ensiwaag,JDN-2010-Nouns
47,NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,ObvSg,ninaanensan,n<<naan>>ensan,JDN-2010-Nouns
48,NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,ObvSg,ninaanensinaanin,n<<naan>>ensinaanin,JDN-2010-Nouns
49,NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,ObvSg,ginaanensinaanin,g<<naan>>ensinaanin,JDN-2010-Nouns
50,NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,ObvSg,ginaanensan,g<<naan>>ensan,JDN-2010-Nouns
51,NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,ObvSg,ginaanensiwaan,g<<naan>>ensiwaan,JDN-2010-Nouns
52,NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,NONE,ObvSg,onaanensan,w<<naan>>ensan,JDN-2010-Nouns
53,NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,NONE,ObvSg,onaanensiwaan,w<<naan>>ensiwaan,JDN-2010-Nouns
54,NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,NONE,ObvSg,onaanensini,w<<naan>>ensiniw1,JDN-2010-Nouns
55,NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,NONE,ObvSg,onaanensini,w<<naan>>ensiniw1,GUESS
56,NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,ninaanensa',n<<naan>>ensa',JDN-2010-Nouns
57,NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,ninaanensinaani',n<<naan>>ensinaani',JDN-2010-Nouns
58,NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensinaani',g<<naan>>ensinaani',JDN-2010-Nouns
59,NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensa',g<<naan>>ensa',JDN-2010-Nouns
60,NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensiwaa',g<<naan>>ensiwaa',JDN-2010-Nouns
61,NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensa',w<<naan>>ensa',JDN-2010-Nouns
62,NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensiwaa',w<<naan>>ensiwaa',JDN-2010-Nouns
63,NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensini,w<<naan>>ensiniw1,JDN-2010-Nouns
64,NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensini,w<<naan>>ensiniw1,GUESS
65,NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,Loc,ninaanensing,n<<naan>>ensing,JDN-2010-Nouns
66,NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,Loc,ninaanensinaang,n<<naan>>ensinaang,JDN-2010-Nouns
67,NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,Loc,ginaanensinaang,g<<naan>>ensinaang,JDN-2010-Nouns
68,NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,Loc,ginaanensing,g<<naan>>ensing,JDN-2010-Nouns
69,NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,Loc,ginaanensiwaang,g<<naan>>ensiwaang,JDN-2010-Nouns
70,NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,onaanensing,w<<naan>>ensing,JDN-2010-Nouns
71,NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,onaanensiwaang,w<<naan>>ensiwaang,JDN-2010-Nouns
72,NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,onaanensining,w<<naan>>ensining,JDN-2010-Nouns
73,NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,onaanensining,w<<naan>>ensining,GUESS
74,NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,Pej,NONE,ProxSg,ninaanish,n<<naan>>ish,JDN-2010-Nouns
75,NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,Pej,NONE,ProxSg,ninaanishinaan,n<<naan>>ishinaan,JDN-2010-Nouns
76,NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,Pej,NONE,ProxSg,ginaanishinaan,g<<naan>>ishinaan,JDN-2010-Nouns
