Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,ProxPl,nindamikoonsimishag,ni<<amikw2>>oonsimishag,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,nindamik,ni<<amikw2>>,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,ProxSg,nindamikom,ni<<amikw2>>om,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,ProxSg,nindamikoons,ni<<amikw2>>oons,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,ProxSg,nindamikoonsim,ni<<amikw2>>oonsim,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,ProxSg,nindamikosh,ni<<amikw2>>osh,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,Pej,NONE,ProxSg,nindamikomish,ni<<amikw2>>omish,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,Pej,NONE,ProxSg,nindamikoonzhish,ni<<amikw2>>oonzhish,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,ProxSg,nindamikoonsimish,ni<<amikw2>>oonsimish,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,LocDist,nindamikokaang,ni<<amikw2>>okaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,LocDist,nindamikomikaang,ni<<amikw2>>omikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,LocDist,nindamikoonsikaang,ni<<amikw2>>oonsikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,LocDist,nindamikoonsimikaang,ni<<amikw2>>oonsimikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,LocDist,nindamikoshikaang,ni<<amikw2>>oshikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,Pej,NONE,LocDist,nindamikomishikaang,ni<<amikw2>>omishikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,Pej,NONE,LocDist,nindamikoonzhishikaang,ni<<amikw2>>oonzhishikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,LocDist,nindamikoonsimishikaang,ni<<amikw2>>oonsimishikaang,GUESS,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,Pret,ObvPl,nindamikobanii',ni<<amikw2>>obanii',JDN-2010-Nouns,nindamikobaniin,ni<<amikw2>>obaniin,JDN-2010-Nouns,nindamikobanen,ni<<amikw2>>obanen,GUESS
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,Pret,ObvPl,nindamikomibanii',ni<<amikw2>>omibanii',JDN-2010-Nouns,nindamikomibaniin,ni<<amikw2>>omibaniin,JDN-2010-Nouns,nindamikomibanen,ni<<amikw2>>omibanen,GUESS
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,Pret,ObvPl,nindamikoonsibanii',ni<<amikw2>>oonsibanii',JDN-2010-Nouns,nindamikoonsibaniin,ni<<amikw2>>oonsibaniin,JDN-2010-Nouns,nindamikoonsibanen,ni<<amikw2>>oonsibanen,GUESS
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,Pret,ObvPl,nindamikoonsimibanii',ni<<amikw2>>oonsimibanii',JDN-2010-Nouns,nindamikoonsimibaniin,ni<<amikw2>>oonsimibaniin,JDN-2010-Nouns,nindamikoonsimibanen,ni<<amikw2>>oonsimibanen,GUESS
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,Pret,ObvSg,nindamikobaniin,ni<<amikw2>>obaniin,JDN-2010-Nouns,nindamikobanen,ni<<amikw2>>obanen,GUESS,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,Pret,ObvSg,nindamikomibaniin,ni<<amikw2>>omibaniin,JDN-2010-Nouns,nindamikomibanen,ni<<amikw2>>omibanen,GUESS,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,Pret,ObvSg,nindamikoonsibaniin,ni<<amikw2>>oonsibaniin,JDN-2010-Nouns,nindamikoonsibanen,ni<<amikw2>>oonsibanen,GUESS,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,Pret,ObvSg,nindamikoonsimibaniin,ni<<amikw2>>oonsimibaniin,JDN-2010-Nouns,nindamikoonsimibanen,ni<<amikw2>>oonsimibanen,GUESS,,,
