,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
172,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nindasiniinsiminaang,ni<<asiny2>>iinsiminaang,JDN-2010-Nouns,,,
173,NA,NA_Cy,asin,asiny2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidasiniinsiminaang,gi<<asiny2>>iinsiminaang,JDN-2010-Nouns,,,
174,NA,NA_Cy,asin,asiny2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidasiniinsiming,gi<<asiny2>>iinsiming,JDN-2010-Nouns,,,
175,NA,NA_Cy,asin,asiny2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidasiniinsimiwaang,gi<<asiny2>>iinsimiwaang,JDN-2010-Nouns,,,
176,NA,NA_Cy,asin,asiny2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odasiniinsiming,o<<asiny2>>iinsiming,JDN-2010-Nouns,,,
177,NA,NA_Cy,asin,asiny2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odasiniinsimiwaang,o<<asiny2>>iinsimiwaang,JDN-2010-Nouns,,,
178,NA,NA_Cy,asin,asiny2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odasiniinsimining,o<<asiny2>>iinsimining,JDN-2010-Nouns,,,
179,NA,NA_Cy,asin,asiny2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odasiniinsimining,o<<asiny2>>iinsimining,GUESS,,,
208,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindasiniishing,ni<<asiny2>>iishing,JDN-2010-Nouns,,,
209,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nindasiniishinaang,ni<<asiny2>>iishinaang,JDN-2010-Nouns,,,
210,NA,NA_Cy,asin,asiny2,InclPoss,NONE,NONE,Pej,NONE,Loc,gidasiniishinaang,gi<<asiny2>>iishinaang,JDN-2010-Nouns,,,
211,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidasiniishing,gi<<asiny2>>iishing,JDN-2010-Nouns,,,
212,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidasiniishiwaang,gi<<asiny2>>iishiwaang,JDN-2010-Nouns,,,
213,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odasiniishing,o<<asiny2>>iishing,JDN-2010-Nouns,,,
214,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odasiniishiwaang,o<<asiny2>>iishiwaang,JDN-2010-Nouns,,,
215,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odasiniishining,o<<asiny2>>iishining,JDN-2010-Nouns,,,
216,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odasiniishining,o<<asiny2>>iishining,GUESS,,,
245,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindasiniimishing,ni<<asiny2>>iimishing,JDN-2010-Nouns,,,
