,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
36,NID,NID_C,kaad,kaad,1SgPoss,NONE,Poss,NONE,NONE,Sg,nikaadim,n<<kaad>>im,JDN-2010-Nouns
37,NID,NID_C,kaad,kaad,ExclPoss,NONE,Poss,NONE,NONE,Sg,nikaadiminaan,n<<kaad>>iminaan,JDN-2010-Nouns
38,NID,NID_C,kaad,kaad,InclPoss,NONE,Poss,NONE,NONE,Sg,gikaadiminaan,g<<kaad>>iminaan,JDN-2010-Nouns
39,NID,NID_C,kaad,kaad,2SgPoss,NONE,Poss,NONE,NONE,Sg,gikaadim,g<<kaad>>im,JDN-2010-Nouns
40,NID,NID_C,kaad,kaad,2PlPoss,NONE,Poss,NONE,NONE,Sg,gikaadimiwaa,g<<kaad>>imiwaa,JDN-2010-Nouns
41,NID,NID_C,kaad,kaad,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,okaadim,w<<kaad>>im,JDN-2010-Nouns
42,NID,NID_C,kaad,kaad,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,okaadimiwaa,w<<kaad>>imiwaa,JDN-2010-Nouns
43,NID,NID_C,kaad,kaad,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,okaadimini,w<<kaad>>iminiw1,JDN-2010-Nouns
44,NID,NID_C,kaad,kaad,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,okaadimini,w<<kaad>>iminiw1,GUESS
45,NID,NID_C,kaad,kaad,1SgPoss,NONE,Poss,NONE,NONE,Loc,nikaadiming,n<<kaad>>iming,JDN-2010-Nouns
46,NID,NID_C,kaad,kaad,ExclPoss,NONE,Poss,NONE,NONE,Loc,nikaadiminaang,n<<kaad>>iminaang,JDN-2010-Nouns
47,NID,NID_C,kaad,kaad,InclPoss,NONE,Poss,NONE,NONE,Loc,gikaadiminaang,g<<kaad>>iminaang,JDN-2010-Nouns
48,NID,NID_C,kaad,kaad,2SgPoss,NONE,Poss,NONE,NONE,Loc,gikaadiming,g<<kaad>>iming,JDN-2010-Nouns
49,NID,NID_C,kaad,kaad,2PlPoss,NONE,Poss,NONE,NONE,Loc,gikaadimiwaang,g<<kaad>>imiwaang,JDN-2010-Nouns
50,NID,NID_C,kaad,kaad,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,okaadiming,w<<kaad>>iming,JDN-2010-Nouns
51,NID,NID_C,kaad,kaad,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,okaadimiwaang,w<<kaad>>imiwaang,JDN-2010-Nouns
52,NID,NID_C,kaad,kaad,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,okaadimining,w<<kaad>>imining,JDN-2010-Nouns
53,NID,NID_C,kaad,kaad,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,okaadimining,w<<kaad>>imining,GUESS
54,NID,NID_C,kaad,kaad,1SgPoss,Dim,NONE,NONE,NONE,Pl,nikaadensan,n<<kaad>>ensan,JDN-2010-Nouns
55,NID,NID_C,kaad,kaad,ExclPoss,Dim,NONE,NONE,NONE,Pl,nikaadensinaanin,n<<kaad>>ensinaanin,JDN-2010-Nouns
56,NID,NID_C,kaad,kaad,InclPoss,Dim,NONE,NONE,NONE,Pl,gikaadensinaanin,g<<kaad>>ensinaanin,JDN-2010-Nouns
57,NID,NID_C,kaad,kaad,2SgPoss,Dim,NONE,NONE,NONE,Pl,gikaadensan,g<<kaad>>ensan,JDN-2010-Nouns
58,NID,NID_C,kaad,kaad,2PlPoss,Dim,NONE,NONE,NONE,Pl,gikaadensiwaan,g<<kaad>>ensiwaan,JDN-2010-Nouns
59,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,okaadensan,w<<kaad>>ensan,JDN-2010-Nouns
60,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,okaadensiwaan,w<<kaad>>ensiwaan,JDN-2010-Nouns
61,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,okaadensini,w<<kaad>>ensiniw1,JDN-2010-Nouns
62,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,okaadensini,w<<kaad>>ensiniw1,GUESS
63,NID,NID_C,kaad,kaad,1SgPoss,Dim,NONE,NONE,NONE,Sg,nikaadens,n<<kaad>>ens,JDN-2010-Nouns
64,NID,NID_C,kaad,kaad,ExclPoss,Dim,NONE,NONE,NONE,Sg,nikaadensinaan,n<<kaad>>ensinaan,JDN-2010-Nouns
65,NID,NID_C,kaad,kaad,InclPoss,Dim,NONE,NONE,NONE,Sg,gikaadensinaan,g<<kaad>>ensinaan,JDN-2010-Nouns
66,NID,NID_C,kaad,kaad,2SgPoss,Dim,NONE,NONE,NONE,Sg,gikaadens,g<<kaad>>ens,JDN-2010-Nouns
67,NID,NID_C,kaad,kaad,2PlPoss,Dim,NONE,NONE,NONE,Sg,gikaadensiwaa,g<<kaad>>ensiwaa,JDN-2010-Nouns
68,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,NONE,NONE,NONE,Sg,okaadens,w<<kaad>>ens,JDN-2010-Nouns
69,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,NONE,NONE,NONE,Sg,okaadensiwaa,w<<kaad>>ensiwaa,JDN-2010-Nouns
70,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,NONE,NONE,NONE,Sg,okaadensini,w<<kaad>>ensiniw1,JDN-2010-Nouns
71,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,NONE,NONE,NONE,Sg,okaadensini,w<<kaad>>ensiniw1,GUESS
72,NID,NID_C,kaad,kaad,1SgPoss,Dim,NONE,NONE,NONE,Loc,nikaadensing,n<<kaad>>ensing,JDN-2010-Nouns
73,NID,NID_C,kaad,kaad,ExclPoss,Dim,NONE,NONE,NONE,Loc,nikaadensinaang,n<<kaad>>ensinaang,JDN-2010-Nouns
74,NID,NID_C,kaad,kaad,InclPoss,Dim,NONE,NONE,NONE,Loc,gikaadensinaang,g<<kaad>>ensinaang,JDN-2010-Nouns
75,NID,NID_C,kaad,kaad,2SgPoss,Dim,NONE,NONE,NONE,Loc,gikaadensing,g<<kaad>>ensing,JDN-2010-Nouns
76,NID,NID_C,kaad,kaad,2PlPoss,Dim,NONE,NONE,NONE,Loc,gikaadensiwaang,g<<kaad>>ensiwaang,JDN-2010-Nouns
77,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,okaadensing,w<<kaad>>ensing,JDN-2010-Nouns
78,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,okaadensiwaang,w<<kaad>>ensiwaang,JDN-2010-Nouns
79,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,okaadensining,w<<kaad>>ensining,JDN-2010-Nouns
80,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,okaadensining,w<<kaad>>ensining,GUESS
81,NID,NID_C,kaad,kaad,1SgPoss,Dim,Poss,NONE,NONE,Pl,nikaadensiman,n<<kaad>>ensiman,JDN-2010-Nouns
82,NID,NID_C,kaad,kaad,ExclPoss,Dim,Poss,NONE,NONE,Pl,nikaadensiminaanin,n<<kaad>>ensiminaanin,JDN-2010-Nouns
83,NID,NID_C,kaad,kaad,InclPoss,Dim,Poss,NONE,NONE,Pl,gikaadensiminaanin,g<<kaad>>ensiminaanin,JDN-2010-Nouns
84,NID,NID_C,kaad,kaad,2SgPoss,Dim,Poss,NONE,NONE,Pl,gikaadensiman,g<<kaad>>ensiman,JDN-2010-Nouns
85,NID,NID_C,kaad,kaad,2PlPoss,Dim,Poss,NONE,NONE,Pl,gikaadensimiwaan,g<<kaad>>ensimiwaan,JDN-2010-Nouns
86,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,okaadensiman,w<<kaad>>ensiman,JDN-2010-Nouns
87,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,okaadensimiwaan,w<<kaad>>ensimiwaan,JDN-2010-Nouns
88,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,okaadensimini,w<<kaad>>ensiminiw1,JDN-2010-Nouns
89,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,okaadensimini,w<<kaad>>ensiminiw1,GUESS
90,NID,NID_C,kaad,kaad,1SgPoss,Dim,Poss,NONE,NONE,Sg,nikaadensim,n<<kaad>>ensim,JDN-2010-Nouns
91,NID,NID_C,kaad,kaad,ExclPoss,Dim,Poss,NONE,NONE,Sg,nikaadensiminaan,n<<kaad>>ensiminaan,JDN-2010-Nouns
92,NID,NID_C,kaad,kaad,InclPoss,Dim,Poss,NONE,NONE,Sg,gikaadensiminaan,g<<kaad>>ensiminaan,JDN-2010-Nouns
93,NID,NID_C,kaad,kaad,2SgPoss,Dim,Poss,NONE,NONE,Sg,gikaadensim,g<<kaad>>ensim,JDN-2010-Nouns
94,NID,NID_C,kaad,kaad,2PlPoss,Dim,Poss,NONE,NONE,Sg,gikaadensimiwaa,g<<kaad>>ensimiwaa,JDN-2010-Nouns
95,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,Poss,NONE,NONE,Sg,okaadensim,w<<kaad>>ensim,JDN-2010-Nouns
96,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,Poss,NONE,NONE,Sg,okaadensimiwaa,w<<kaad>>ensimiwaa,JDN-2010-Nouns
97,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,Poss,NONE,NONE,Sg,okaadensimini,w<<kaad>>ensiminiw1,JDN-2010-Nouns
98,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,Poss,NONE,NONE,Sg,okaadensimini,w<<kaad>>ensiminiw1,GUESS
99,NID,NID_C,kaad,kaad,1SgPoss,Dim,Poss,NONE,NONE,Loc,nikaadensiming,n<<kaad>>ensiming,JDN-2010-Nouns
100,NID,NID_C,kaad,kaad,ExclPoss,Dim,Poss,NONE,NONE,Loc,nikaadensiminaang,n<<kaad>>ensiminaang,JDN-2010-Nouns
101,NID,NID_C,kaad,kaad,InclPoss,Dim,Poss,NONE,NONE,Loc,gikaadensiminaang,g<<kaad>>ensiminaang,JDN-2010-Nouns
102,NID,NID_C,kaad,kaad,2SgPoss,Dim,Poss,NONE,NONE,Loc,gikaadensiming,g<<kaad>>ensiming,JDN-2010-Nouns
103,NID,NID_C,kaad,kaad,2PlPoss,Dim,Poss,NONE,NONE,Loc,gikaadensimiwaang,g<<kaad>>ensimiwaang,JDN-2010-Nouns
104,NID,NID_C,kaad,kaad,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,okaadensiming,w<<kaad>>ensiming,JDN-2010-Nouns
105,NID,NID_C,kaad,kaad,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,okaadensimiwaang,w<<kaad>>ensimiwaang,JDN-2010-Nouns
106,NID,NID_C,kaad,kaad,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,okaadensimining,w<<kaad>>ensimining,JDN-2010-Nouns
107,NID,NID_C,kaad,kaad,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,okaadensimining,w<<kaad>>ensimining,GUESS
108,NID,NID_C,kaad,kaad,1SgPoss,NONE,NONE,Pej,NONE,Pl,nikaadishan,n<<kaad>>ishan,JDN-2010-Nouns
109,NID,NID_C,kaad,kaad,ExclPoss,NONE,NONE,Pej,NONE,Pl,nikaadishinaanin,n<<kaad>>ishinaanin,JDN-2010-Nouns
110,NID,NID_C,kaad,kaad,InclPoss,NONE,NONE,Pej,NONE,Pl,gikaadishinaanin,g<<kaad>>ishinaanin,JDN-2010-Nouns
111,NID,NID_C,kaad,kaad,2SgPoss,NONE,NONE,Pej,NONE,Pl,gikaadishan,g<<kaad>>ishan,JDN-2010-Nouns
112,NID,NID_C,kaad,kaad,2PlPoss,NONE,NONE,Pej,NONE,Pl,gikaadishiwaan,g<<kaad>>ishiwaan,JDN-2010-Nouns
113,NID,NID_C,kaad,kaad,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,okaadishan,w<<kaad>>ishan,JDN-2010-Nouns
114,NID,NID_C,kaad,kaad,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,okaadishiwaan,w<<kaad>>ishiwaan,JDN-2010-Nouns
115,NID,NID_C,kaad,kaad,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,okaadishini,w<<kaad>>ishiniw1,JDN-2010-Nouns
116,NID,NID_C,kaad,kaad,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,okaadishini,w<<kaad>>ishiniw1,GUESS
117,NID,NID_C,kaad,kaad,1SgPoss,NONE,NONE,Pej,NONE,Sg,nikaadish,n<<kaad>>ish,JDN-2010-Nouns
118,NID,NID_C,kaad,kaad,ExclPoss,NONE,NONE,Pej,NONE,Sg,nikaadishinaan,n<<kaad>>ishinaan,JDN-2010-Nouns
119,NID,NID_C,kaad,kaad,InclPoss,NONE,NONE,Pej,NONE,Sg,gikaadishinaan,g<<kaad>>ishinaan,JDN-2010-Nouns
120,NID,NID_C,kaad,kaad,2SgPoss,NONE,NONE,Pej,NONE,Sg,gikaadish,g<<kaad>>ish,JDN-2010-Nouns
121,NID,NID_C,kaad,kaad,2PlPoss,NONE,NONE,Pej,NONE,Sg,gikaadishiwaa,g<<kaad>>ishiwaa,JDN-2010-Nouns
122,NID,NID_C,kaad,kaad,3SgProxPoss,NONE,NONE,Pej,NONE,Sg,okaadish,w<<kaad>>ish,JDN-2010-Nouns
123,NID,NID_C,kaad,kaad,3PlProxPoss,NONE,NONE,Pej,NONE,Sg,okaadishiwaa,w<<kaad>>ishiwaa,JDN-2010-Nouns
124,NID,NID_C,kaad,kaad,3SgObvPoss,NONE,NONE,Pej,NONE,Sg,okaadishini,w<<kaad>>ishiniw1,JDN-2010-Nouns
125,NID,NID_C,kaad,kaad,3PlObvPoss,NONE,NONE,Pej,NONE,Sg,okaadishini,w<<kaad>>ishiniw1,GUESS
126,NID,NID_C,kaad,kaad,1SgPoss,NONE,NONE,Pej,NONE,Loc,nikaadishing,n<<kaad>>ishing,JDN-2010-Nouns
127,NID,NID_C,kaad,kaad,ExclPoss,NONE,NONE,Pej,NONE,Loc,nikaadishinaang,n<<kaad>>ishinaang,JDN-2010-Nouns
128,NID,NID_C,kaad,kaad,InclPoss,NONE,NONE,Pej,NONE,Loc,gikaadishinaang,g<<kaad>>ishinaang,JDN-2010-Nouns
129,NID,NID_C,kaad,kaad,2SgPoss,NONE,NONE,Pej,NONE,Loc,gikaadishing,g<<kaad>>ishing,JDN-2010-Nouns
130,NID,NID_C,kaad,kaad,2PlPoss,NONE,NONE,Pej,NONE,Loc,gikaadishiwaang,g<<kaad>>ishiwaang,JDN-2010-Nouns
