Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,NA,NA,NA,ProxSg,gizhiishiibinaan,gi<<zhiishiib>>inaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,NA,NA,NA,ProxSg,gizhiishiib,gi<<zhiishiib>>,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,NA,NA,NA,ProxSg,gizhiishiibiwaa,gi<<zhiishiib>>iwaa,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,1SgPoss,NA,NA,NA,NA,ProxPl,nizhiishiibag,ni<<zhiishiib>>ag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,ExclPoss,NA,NA,NA,NA,ProxPl,nizhiishiibinaanig,ni<<zhiishiib>>inaanig,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,NA,NA,NA,ProxPl,gizhiishiibinaanig,gi<<zhiishiib>>inaanig,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,NA,NA,NA,ProxPl,gizhiishiibag,gi<<zhiishiib>>ag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,NA,NA,NA,ProxPl,gizhiishiibiwaag,gi<<zhiishiib>>iwaag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,1SgPoss,NA,NA,NA,NA,ObvSg,nizhiishiiban,ni<<zhiishiib>>an,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,ExclPoss,NA,NA,NA,NA,ObvSg,nizhiishiibinaanin,ni<<zhiishiib>>inaanin,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,NA,NA,NA,ObvSg,gizhiishiibinaanin,gi<<zhiishiib>>inaanin,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,NA,NA,NA,ObvSg,gizhiishiiban,gi<<zhiishiib>>an,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,NA,NA,NA,ObvSg,gizhiishiibiwaan,gi<<zhiishiib>>iwaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgProxPoss,NA,NA,NA,NA,ObvSg,ozhiishiiban,o<<zhiishiib>>an,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlProxPoss,NA,NA,NA,NA,ObvSg,ozhiishiibiwaan,o<<zhiishiib>>iwaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgObvPoss,NA,NA,NA,NA,ObvSg,ozhiishiibini,o<<zhiishiib>>ini,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlObvPoss,NA,NA,NA,NA,ObvSg,ozhiishiibini,o<<zhiishiib>>ini,GUESS,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,1SgPoss,NA,NA,NA,NA,ObvPl,nizhiishiiba',ni<<zhiishiib>>a',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,ExclPoss,NA,NA,NA,NA,ObvPl,nizhiishiibinaani',ni<<zhiishiib>>inaani',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,NA,NA,NA,ObvPl,gizhiishiibinaani',gi<<zhiishiib>>inaani',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,NA,NA,NA,ObvPl,gizhiishiiba',gi<<zhiishiib>>a',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,NA,NA,NA,ObvPl,gizhiishiibiwaa',gi<<zhiishiib>>iwaa',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgProxPoss,NA,NA,NA,NA,ObvPl,ozhiishiiba',o<<zhiishiib>>a',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlProxPoss,NA,NA,NA,NA,ObvPl,ozhiishiibiwaa',o<<zhiishiib>>iwaa',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgObvPoss,NA,NA,NA,NA,ObvPl,ozhiishiibini,o<<zhiishiib>>ini,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlObvPoss,NA,NA,NA,NA,ObvPl,ozhiishiibini,o<<zhiishiib>>ini,GUESS,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,1SgPoss,NA,NA,NA,NA,Loc,nizhiishiibing,ni<<zhiishiib>>ing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,ExclPoss,NA,NA,NA,NA,Loc,nizhiishiibinaang,ni<<zhiishiib>>inaang,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,NA,NA,NA,Loc,gizhiishiibinaang,gi<<zhiishiib>>inaang,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,NA,NA,NA,Loc,gizhiishiibing,gi<<zhiishiib>>ing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,NA,NA,NA,Loc,gizhiishiibiwaang,gi<<zhiishiib>>iwaang,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgProxPoss,NA,NA,NA,NA,Loc,ozhiishiibing,o<<zhiishiib>>ing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlProxPoss,NA,NA,NA,NA,Loc,ozhiishiibiwaang,o<<zhiishiib>>iwaang,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3SgObvPoss,NA,NA,NA,NA,Loc,ozhiishiibining,o<<zhiishiib>>ining,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,3PlObvPoss,NA,NA,NA,NA,Loc,ozhiishiibining,o<<zhiishiib>>ining,GUESS,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,1SgPoss,NA,Poss,NA,NA,ProxSg,nizhiishiibim,ni<<zhiishiib>>im,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,ExclPoss,NA,Poss,NA,NA,ProxSg,nizhiishiibiminaan,ni<<zhiishiib>>iminaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,InclPoss,NA,Poss,NA,NA,ProxSg,gizhiishiibiminaan,gi<<zhiishiib>>iminaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2SgPoss,NA,Poss,NA,NA,ProxSg,gizhiishiibiminaan,gi<<zhiishiib>>iminaan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,2PlPoss,NA,Poss,NA,NA,ProxSg,gizhiishiibimiwaa,gi<<zhiishiib>>imiwaa,JDN-2010-Nouns,,,
