Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NI,VV-final*,ishkode,<<ishkodew2>>,DIM,ishkodens,<<ishkodew2>>ns,OPD
NI,VV-final*,ishkode,<<ishkodew2>>,PEJ,ishkodewish,<<ishkodew2>>ish,JDN2011
NI,VV-final*,ishkode,<<ishkodew2>>,Sg,ishkode,<<ishkodew2>>,OPD
NI,VV-final*,ishkode,<<ishkodew2>>,Pl,ishkoden,<<ishkodew2>>n,OPD
NI,VV-final*,ishkode,<<ishkodew2>>,LOC,ishkodeng,<<ishkodew2>>ng,OPD
NI,VV-final*,ishkode,<<ishkodew2>>,PRET,ishkodeban,<<ishkodew2>>ban,inferred
