Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NA,NA_ShortC,nika,nik,2PlPoss,Dim,Poss,NONE,NONE,Loc,ginikensimiwaang,gi<<nik>>ensimiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,onikensiming,o<<nik>>ensiming,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,onikensimiwaang,o<<nik>>ensimiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,onikensimining,o<<nik>>ensimining,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,onikensimining,o<<nik>>ensimining,GUESS,,,
NA,NA_ShortC,nika,nik,1SgPoss,NONE,NONE,Pej,NONE,Loc,ninikishing,ni<<nik>>ishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,NONE,NONE,Pej,NONE,Loc,ninikishinaang,ni<<nik>>ishinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,NONE,NONE,Pej,NONE,Loc,ginikishinaang,gi<<nik>>ishinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2SgPoss,NONE,NONE,Pej,NONE,Loc,ginikishing,gi<<nik>>ishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2PlPoss,NONE,NONE,Pej,NONE,Loc,ginikishiwaang,gi<<nik>>ishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,onikishing,o<<nik>>ishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,onikishiwaang,o<<nik>>ishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,onikishining,o<<nik>>ishining,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,onikishining,o<<nik>>ishining,GUESS,,,
NA,NA_ShortC,nika,nik,1SgPoss,NONE,Poss,Pej,NONE,Loc,ninikimishing,ni<<nik>>imishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,NONE,Poss,Pej,NONE,Loc,ninikimishinaang,ni<<nik>>imishinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,NONE,Poss,Pej,NONE,Loc,ginikimishinaang,gi<<nik>>imishinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2SgPoss,NONE,Poss,Pej,NONE,Loc,ginikimishing,gi<<nik>>imishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2PlPoss,NONE,Poss,Pej,NONE,Loc,ginikimishiwaang,gi<<nik>>imishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,onikimishing,o<<nik>>imishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,onikimishiwaang,o<<nik>>imishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,onikimishining,o<<nik>>imishining,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,onikimishining,o<<nik>>imishining,GUESS,,,
NA,NA_ShortC,nika,nik,1SgPoss,Dim,NONE,Pej,NONE,Loc,ninikenzhishing,ni<<nik>>enzhishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,Dim,NONE,Pej,NONE,Loc,ninikenzhishinaang,ni<<nik>>enzhishinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,Dim,NONE,Pej,NONE,Loc,ginikenzhishinaang,gi<<nik>>enzhishinaang,JDN-2010-Nouns,,,
