Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensiwaang,o<<giigoonhy1>>ensiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensining,o<<giigoonhy1>>ensining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensining,o<<giigoonhy1>>ensining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,Poss,NONE,NONE,Loc,ningiigoonyensiming,ni<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,Poss,NONE,NONE,Loc,ningiigoonyensiminaang,ni<<giigoonhy1>>ensiminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensiminaang,gi<<giigoonhy1>>ensiminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensiming,gi<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensimiwaang,gi<<giigoonhy1>>ensimiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,ogiigoonyensiming,o<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,ogiigoonyensimiwaang,o<<giigoonhy1>>ensimiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,ogiigoonyensimining,o<<giigoonhy1>>ensimining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,ogiigoonyensimining,o<<giigoonhy1>>ensimining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,NONE,Pej,NONE,Loc,ningiigoonyishing,ni<<giigoonhy1>>ishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,NONE,Pej,NONE,Loc,ningiigoonyishinaang,ni<<giigoonhy1>>ishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,NONE,Pej,NONE,Loc,gigiigoonyishinaang,gi<<giigoonhy1>>ishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,NONE,Pej,NONE,Loc,gigiigoonyishing,gi<<giigoonhy1>>ishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,NONE,Pej,NONE,Loc,gigiigoonyishiwaang,gi<<giigoonhy1>>ishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,ogiigoonyishing,o<<giigoonhy1>>ishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,ogiigoonyishiwaang,o<<giigoonhy1>>ishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,ogiigoonyishining,o<<giigoonhy1>>ishining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,ogiigoonyishining,o<<giigoonhy1>>ishining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,Poss,Pej,NONE,Loc,ningiigoonyimishing,ni<<giigoonhy1>>imishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,Poss,Pej,NONE,Loc,ningiigoonyimishinaang,ni<<giigoonhy1>>imishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,Poss,Pej,NONE,Loc,gigiigoonyimishinaang,gi<<giigoonhy1>>imishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,Poss,Pej,NONE,Loc,gigiigoonyimishing,gi<<giigoonhy1>>imishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,Poss,Pej,NONE,Loc,gigiigoonyimishiwaang,gi<<giigoonhy1>>imishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,ogiigoonyimishing,o<<giigoonhy1>>imishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,ogiigoonyimishiwaang,o<<giigoonhy1>>imishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,ogiigoonyimishining,o<<giigoonhy1>>imishining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,ogiigoonyimishining,o<<giigoonhy1>>imishining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,NONE,Pej,NONE,Loc,ningiigoonyenzhishing,ni<<giigoonhy1>>enzhishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,NONE,Pej,NONE,Loc,ningiigoonyenzhishinaang,ni<<giigoonhy1>>enzhishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,NONE,Pej,NONE,Loc,gigiigoonyenzhishinaang,gi<<giigoonhy1>>enzhishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,NONE,Pej,NONE,Loc,gigiigoonyenzhishing,gi<<giigoonhy1>>enzhishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,NONE,Pej,NONE,Loc,gigiigoonyenzhishiwaang,gi<<giigoonhy1>>enzhishiwaang,JDN-2010-Nouns,,,,,,
