Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NA,Cy-final,asin,<<asiny2>>,DIM,asiniins,<<asiny2>>iins,JDN2011
NA,Cy-final,asin,<<asiny2>>,PEJ,asiniish,<<asiny2>>iish,JDN2011
NA,Cy-final,asin,<<asiny2>>,ProxSg,asin,<<asiny2>>i,OPD
NA,Cy-final,asin,<<asiny2>>,ProxPl,asiniig,<<asiny2>>iig,JDN2011
NA,Cy-final,asin,<<asiny2>>,LOC,asiniing,<<asiny2>>iing,JDN2011
NA,Cy-final,asin,<<asiny2>>,PRET,asiniiban,<<asiny2>>iiban,inferred
NA,Cy-final,asin,<<asiny2>>,ObvSg,asiin,<<asiny2>>in,JDN2011
NA,Cy-final,asin,<<asiny2>>,ObvPl,asii',<<asiny2>>i',inferred
