,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
142,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimaamaayensiming,g<<maamaay1>>ensiming,JDN-2010-Nouns,,,
143,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimaamaayensimiwaang,g<<maamaay1>>ensimiwaang,JDN-2010-Nouns,,,
144,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensiming,w<<maamaay1>>ensiming,JDN-2010-Nouns,,,
145,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimiwaang,w<<maamaay1>>ensimiwaang,JDN-2010-Nouns,,,
146,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimining,w<<maamaay1>>ensimining,JDN-2010-Nouns,,,
147,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimining,w<<maamaay1>>ensimining,GUESS,,,
176,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimaamaayishing,n<<maamaay1>>ishing,JDN-2010-Nouns,,,
177,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimaamaayishinaang,n<<maamaay1>>ishinaang,JDN-2010-Nouns,,,
178,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishinaang,g<<maamaay1>>ishinaang,JDN-2010-Nouns,,,
179,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishing,g<<maamaay1>>ishing,JDN-2010-Nouns,,,
180,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishiwaang,g<<maamaay1>>ishiwaang,JDN-2010-Nouns,,,
181,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishing,w<<maamaay1>>ishing,JDN-2010-Nouns,,,
182,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishiwaang,w<<maamaay1>>ishiwaang,JDN-2010-Nouns,,,
183,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishining,w<<maamaay1>>ishining,JDN-2010-Nouns,,,
184,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishining,w<<maamaay1>>ishining,GUESS,,,
213,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,Poss,Pej,NONE,Loc,nimaamaayimishing,n<<maamaay1>>imishing,JDN-2010-Nouns,,,
214,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,Poss,Pej,NONE,Loc,nimaamaayimishinaang,n<<maamaay1>>imishinaang,JDN-2010-Nouns,,,
215,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishinaang,g<<maamaay1>>imishinaang,JDN-2010-Nouns,,,
216,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishing,g<<maamaay1>>imishing,JDN-2010-Nouns,,,
217,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishiwaang,g<<maamaay1>>imishiwaang,JDN-2010-Nouns,,,
218,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishing,w<<maamaay1>>imishing,JDN-2010-Nouns,,,
219,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishiwaang,w<<maamaay1>>imishiwaang,JDN-2010-Nouns,,,
220,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishining,w<<maamaay1>>imishining,JDN-2010-Nouns,,,
221,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishining,w<<maamaay1>>imishining,GUESS,,,
362,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimaamaayenzhishing,n<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
363,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimaamaayenzhishinaang,n<<maamaay1>>enzhishinaang,JDN-2010-Nouns,,,
364,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishinaang,g<<maamaay1>>enzhishinaang,JDN-2010-Nouns,,,
365,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishing,g<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
366,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishiwaang,g<<maamaay1>>enzhishiwaang,JDN-2010-Nouns,,,
367,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishing,w<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
368,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishiwaang,w<<maamaay1>>enzhishiwaang,JDN-2010-Nouns,,,
369,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishining,w<<maamaay1>>enzhishining,JDN-2010-Nouns,,,
370,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishining,w<<maamaay1>>enzhishining,GUESS,,,
399,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimaamaayensimishing,n<<maamaay1>>ensimishing,JDN-2010-Nouns,,,
400,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,Poss,Pej,NONE,Loc,nimaamaayensimishinaang,n<<maamaay1>>ensimishinaang,JDN-2010-Nouns,,,
401,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,Poss,Pej,NONE,Loc,gimaamaayensimishinaang,g<<maamaay1>>ensimishinaang,JDN-2010-Nouns,,,
402,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,Poss,Pej,NONE,Loc,gimaamaayensimishing,g<<maamaay1>>ensimishing,JDN-2010-Nouns,,,
403,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimaamaayensimishiwaang,g<<maamaay1>>ensimishiwaang,JDN-2010-Nouns,,,
404,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,omaamaayensimishing,w<<maamaay1>>ensimishing,JDN-2010-Nouns,,,
405,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,omaamaayensimishiwaang,w<<maamaay1>>ensimishiwaang,JDN-2010-Nouns,,,
406,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,omaamaayensimishining,w<<maamaay1>>ensimishining,JDN-2010-Nouns,,,
407,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,omaamaayensimishining,w<<maamaay1>>ensimishining,GUESS,,,
19,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nimaamaaya',n<<maamaay1>>a',JDN-2010-Nouns,nimaamaayan,n<<maamaay1>>an,JDN-2010-Nouns
20,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nimaamaayinaani',n<<maamaay1>>inaani',JDN-2010-Nouns,nimaamaayinaanin,n<<maamaay1>>inaanin,JDN-2010-Nouns
21,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gimaamaayinaani',g<<maamaay1>>inaani',JDN-2010-Nouns,gimaamaayinaanin,g<<maamaay1>>inaanin,JDN-2010-Nouns
22,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gimaamaaya',g<<maamaay1>>a',JDN-2010-Nouns,gimaamaayan,g<<maamaay1>>an,JDN-2010-Nouns
23,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gimaamaayiwaa',g<<maamaay1>>iwaa',JDN-2010-Nouns,gimaamaayiwaan,g<<maamaay1>>iwaan,JDN-2010-Nouns
24,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,omaamaaya',w<<maamaay1>>a',JDN-2010-Nouns,omaamaayan,w<<maamaay1>>an,JDN-2010-Nouns
25,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,omaamaayiwaa',w<<maamaay1>>iwaa',JDN-2010-Nouns,omaamaayiwaan,w<<maamaay1>>iwaan,JDN-2010-Nouns
26,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,omaamaayini,w<<maamaay1>>iniw1,JDN-2010-Nouns,omaamaayini,w<<maamaay1>>iniw1,JDN-2010-Nouns
27,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,omaamaayini,w<<maamaay1>>iniw1,GUESS,omaamaayini,w<<maamaay1>>iniw1,GUESS
56,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nimaamaayima',n<<maamaay1>>ima',JDN-2010-Nouns,nimaamaayiman,n<<maamaay1>>iman,JDN-2010-Nouns
57,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,nimaamaayiminaani',n<<maamaay1>>iminaani',JDN-2010-Nouns,nimaamaayiminaanin,n<<maamaay1>>iminaanin,JDN-2010-Nouns
58,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,Poss,NONE,NONE,ObvPl,gimaamaayiminaani',g<<maamaay1>>iminaani',JDN-2010-Nouns,gimaamaayiminaanin,g<<maamaay1>>iminaanin,JDN-2010-Nouns
59,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,gimaamaayima',g<<maamaay1>>ima',JDN-2010-Nouns,gimaamaayiman,g<<maamaay1>>iman,JDN-2010-Nouns
60,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gimaamaayimiwaa',g<<maamaay1>>imiwaa',JDN-2010-Nouns,gimaamaayimiwaan,g<<maamaay1>>imiwaan,JDN-2010-Nouns
61,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,omaamaayima',w<<maamaay1>>ima',JDN-2010-Nouns,omaamaayiman,w<<maamaay1>>iman,JDN-2010-Nouns
62,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,omaamaayimiwaa',w<<maamaay1>>imiwaa',JDN-2010-Nouns,omaamaayimiwaan,w<<maamaay1>>imiwaan,JDN-2010-Nouns
63,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,omaamaayimini,w<<maamaay1>>iminiw1,JDN-2010-Nouns,omaamaayimini,w<<maamaay1>>iminiw1,JDN-2010-Nouns
64,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,omaamaayimini,w<<maamaay1>>iminiw1,GUESS,omaamaayimini,w<<maamaay1>>iminiw1,GUESS
93,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nimaamaayensa',n<<maamaay1>>ensa',JDN-2010-Nouns,nimaamaayensan,n<<maamaay1>>ensan,JDN-2010-Nouns
94,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,nimaamaayensinaani',n<<maamaay1>>ensinaani',JDN-2010-Nouns,nimaamaayensinaanin,n<<maamaay1>>ensinaanin,JDN-2010-Nouns
95,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,NONE,NONE,NONE,ObvPl,gimaamaayensinaani',g<<maamaay1>>ensinaani',JDN-2010-Nouns,gimaamaayensinaanin,g<<maamaay1>>ensinaanin,JDN-2010-Nouns
96,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,gimaamaayensa',g<<maamaay1>>ensa',JDN-2010-Nouns,gimaamaayensan,g<<maamaay1>>ensan,JDN-2010-Nouns
97,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gimaamaayensiwaa',g<<maamaay1>>ensiwaa',JDN-2010-Nouns,gimaamaayensiwaan,g<<maamaay1>>ensiwaan,JDN-2010-Nouns
98,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,omaamaayensa',w<<maamaay1>>ensa',JDN-2010-Nouns,omaamaayensan,w<<maamaay1>>ensan,JDN-2010-Nouns
99,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,omaamaayensiwaa',w<<maamaay1>>ensiwaa',JDN-2010-Nouns,omaamaayensiwaan,w<<maamaay1>>ensiwaan,JDN-2010-Nouns
100,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,omaamaayensini,w<<maamaay1>>ensiniw1,JDN-2010-Nouns,omaamaayensini,w<<maamaay1>>ensiniw1,JDN-2010-Nouns
101,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,omaamaayensini,w<<maamaay1>>ensiniw1,GUESS,omaamaayensini,w<<maamaay1>>ensiniw1,GUESS
130,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nimaamaayensima',n<<maamaay1>>ensima',JDN-2010-Nouns,nimaamaayensiman,n<<maamaay1>>ensiman,JDN-2010-Nouns
131,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,Poss,NONE,NONE,ObvPl,nimaamaayensiminaani',n<<maamaay1>>ensiminaani',JDN-2010-Nouns,nimaamaayensiminaanin,n<<maamaay1>>ensiminaanin,JDN-2010-Nouns
132,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,Poss,NONE,NONE,ObvPl,gimaamaayensiminaani',g<<maamaay1>>ensiminaani',JDN-2010-Nouns,gimaamaayensiminaanin,g<<maamaay1>>ensiminaanin,JDN-2010-Nouns
133,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,Poss,NONE,NONE,ObvPl,gimaamaayensima',g<<maamaay1>>ensima',JDN-2010-Nouns,gimaamaayensiman,g<<maamaay1>>ensiman,JDN-2010-Nouns
134,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gimaamaayensimiwaa',g<<maamaay1>>ensimiwaa',JDN-2010-Nouns,gimaamaayensimiwaan,g<<maamaay1>>ensimiwaan,JDN-2010-Nouns
135,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,Poss,NONE,NONE,ObvPl,omaamaayensima',w<<maamaay1>>ensima',JDN-2010-Nouns,omaamaayensiman,w<<maamaay1>>ensiman,JDN-2010-Nouns
136,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,Poss,NONE,NONE,ObvPl,omaamaayensimiwaa',w<<maamaay1>>ensimiwaa',JDN-2010-Nouns,omaamaayensimiwaan,w<<maamaay1>>ensimiwaan,JDN-2010-Nouns
137,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,Poss,NONE,NONE,ObvPl,omaamaayensimini,w<<maamaay1>>ensiminiw1,JDN-2010-Nouns,omaamaayensimini,w<<maamaay1>>ensiminiw1,JDN-2010-Nouns
138,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,Poss,NONE,NONE,ObvPl,omaamaayensimini,w<<maamaay1>>ensiminiw1,GUESS,omaamaayensimini,w<<maamaay1>>ensiminiw1,GUESS
167,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nimaamaayisha',n<<maamaay1>>isha',JDN-2010-Nouns,nimaamaayishan,n<<maamaay1>>ishan,JDN-2010-Nouns
168,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,NONE,Pej,NONE,ObvPl,nimaamaayishinaani',n<<maamaay1>>ishinaani',JDN-2010-Nouns,nimaamaayishinaanin,n<<maamaay1>>ishinaanin,JDN-2010-Nouns
