Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,NA,NA,NA,Loc,gijiimaaning,gi<<jiimaan>>ing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,NA,NA,NA,Loc,gijiimaaniwaang,gi<<jiimaan>>iwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,NA,NA,NA,Loc,ojiimaaning,o<<jiimaan>>ing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,NA,NA,NA,Loc,ojiimaaniwaang,o<<jiimaan>>iwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,NA,NA,NA,Loc,ojiimaanining,o<<jiimaan>>ining,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,NA,NA,NA,Loc,ojiimaanining,o<<jiimaan>>ining,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,Poss,NA,NA,Pl,nijiimaaniman,ni<<jiimaan>>iman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,Poss,NA,NA,Pl,nijiimaaniminaanin,ni<<jiimaan>>iminaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,Poss,NA,NA,Pl,gijiimaaniminaanin,gi<<jiimaan>>iminaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,Poss,NA,NA,Pl,gijiimaaniman,gi<<jiimaan>>iman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,Poss,NA,NA,Pl,gijiimaanimiwaan,gi<<jiimaan>>imiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,Poss,NA,NA,Pl,ojiimaaniman,o<<jiimaan>>iman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,Poss,NA,NA,Pl,ojiimaanimiwaan,o<<jiimaan>>imiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,Poss,NA,NA,Pl,ojiimaanimini,o<<jiimaan>>imini,JDN-2010-Nouns
