Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cy,anit,anity2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidanitiinsiminaang,gi<<anity2>>iinsiminaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidanitiinsiming,gi<<anity2>>iinsiming,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidanitiinsimiwaang,gi<<anity2>>iinsimiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odanitiinsiming,o<<anity2>>iinsiming,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odanitiinsimiwaang,o<<anity2>>iinsimiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odanitiinsimining,o<<anity2>>iinsimining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odanitiinsimining,o<<anity2>>iinsimining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindanitiishing,ni<<anity2>>iishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nindanitiishinaang,ni<<anity2>>iishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,NONE,Pej,NONE,Loc,gidanitiishinaang,gi<<anity2>>iishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidanitiishing,gi<<anity2>>iishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidanitiishiwaang,gi<<anity2>>iishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odanitiishing,o<<anity2>>iishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odanitiishiwaang,o<<anity2>>iishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odanitiishining,o<<anity2>>iishining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odanitiishining,o<<anity2>>iishining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindanitiimishing,ni<<anity2>>iimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,Poss,Pej,NONE,Loc,nindanitiimishinaang,ni<<anity2>>iimishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,Poss,Pej,NONE,Loc,gidanitiimishinaang,gi<<anity2>>iimishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,Poss,Pej,NONE,Loc,gidanitiimishing,gi<<anity2>>iimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gidanitiimishiwaang,gi<<anity2>>iimishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,odanitiimishing,o<<anity2>>iimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odanitiimishiwaang,o<<anity2>>iimishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odanitiimishining,o<<anity2>>iimishining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odanitiimishining,o<<anity2>>iimishining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nindanitiinzhishing,ni<<anity2>>iinzhishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nindanitiinzhishinaang,ni<<anity2>>iinzhishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,Dim,NONE,Pej,NONE,Loc,gidanitiinzhishinaang,gi<<anity2>>iinzhishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gidanitiinzhishing,gi<<anity2>>iinzhishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gidanitiinzhishiwaang,gi<<anity2>>iinzhishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,odanitiinzhishing,o<<anity2>>iinzhishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,odanitiinzhishiwaang,o<<anity2>>iinzhishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,odanitiinzhishining,o<<anity2>>iinzhishining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,odanitiinzhishining,o<<anity2>>iinzhishining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nindanitiinsimishing,ni<<anity2>>iinsimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nindanitiinsimishinaang,ni<<anity2>>iinsimishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,Dim,Poss,Pej,NONE,Loc,gidanitiinsimishinaang,gi<<anity2>>iinsimishinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gidanitiinsimishing,gi<<anity2>>iinsimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gidanitiinsimishiwaang,gi<<anity2>>iinsimishiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,odanitiinsimishing,o<<anity2>>iinsimishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,odanitiinsimishiwaang,o<<anity2>>iinsimishiwaang,JDN-2010-Nouns,,,
