,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
140,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensiwaang,o<<anishinaabew2>>nsiwaang,JDN-2010-Nouns,,,
141,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensining,o<<anishinaabew2>>nsining,JDN-2010-Nouns,,,
142,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensining,o<<anishinaabew2>>nsining,GUESS,,,
171,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindanishinaabensiming,ni<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
172,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nindanishinaabensiminaang,ni<<anishinaabew2>>nsiminaang,JDN-2010-Nouns,,,
173,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensiminaang,gi<<anishinaabew2>>nsiminaang,JDN-2010-Nouns,,,
174,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensiming,gi<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
175,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensimiwaang,gi<<anishinaabew2>>nsimiwaang,JDN-2010-Nouns,,,
176,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensiming,o<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
177,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensimiwaang,o<<anishinaabew2>>nsimiwaang,JDN-2010-Nouns,,,
178,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensimining,o<<anishinaabew2>>nsimining,JDN-2010-Nouns,,,
179,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensimining,o<<anishinaabew2>>nsimining,GUESS,,,
208,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindanishinaabewishing,ni<<anishinaabew2>>ishing,JDN-2010-Nouns,,,
209,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nindanishinaabewishinaang,ni<<anishinaabew2>>ishinaang,JDN-2010-Nouns,,,
210,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,NONE,Pej,NONE,Loc,gidanishinaabewishinaang,gi<<anishinaabew2>>ishinaang,JDN-2010-Nouns,,,
211,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidanishinaabewishing,gi<<anishinaabew2>>ishing,JDN-2010-Nouns,,,
212,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidanishinaabewishiwaang,gi<<anishinaabew2>>ishiwaang,JDN-2010-Nouns,,,
213,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odanishinaabewishing,o<<anishinaabew2>>ishing,JDN-2010-Nouns,,,
214,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odanishinaabewishiwaang,o<<anishinaabew2>>ishiwaang,JDN-2010-Nouns,,,
215,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odanishinaabewishining,o<<anishinaabew2>>ishining,JDN-2010-Nouns,,,
216,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odanishinaabewishining,o<<anishinaabew2>>ishining,GUESS,,,
245,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindanishinaabemishing,ni<<anishinaabew2>>mishing,JDN-2010-Nouns,,,
246,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,Poss,Pej,NONE,Loc,nindanishinaabemishinaang,ni<<anishinaabew2>>mishinaang,JDN-2010-Nouns,,,
247,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,Poss,Pej,NONE,Loc,gidanishinaabemishinaang,gi<<anishinaabew2>>mishinaang,JDN-2010-Nouns,,,
248,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,Poss,Pej,NONE,Loc,gidanishinaabemishing,gi<<anishinaabew2>>mishing,JDN-2010-Nouns,,,
249,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gidanishinaabemishiwaang,gi<<anishinaabew2>>mishiwaang,JDN-2010-Nouns,,,
250,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,odanishinaabemishing,o<<anishinaabew2>>mishing,JDN-2010-Nouns,,,
251,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odanishinaabemishiwaang,o<<anishinaabew2>>mishiwaang,JDN-2010-Nouns,,,
252,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odanishinaabemishining,o<<anishinaabew2>>mishining,JDN-2010-Nouns,,,
253,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odanishinaabemishining,o<<anishinaabew2>>mishining,GUESS,,,
394,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nindanishinaabenzhishing,ni<<anishinaabew2>>nzhishing,JDN-2010-Nouns,,,
395,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nindanishinaabenzhishinaang,ni<<anishinaabew2>>nzhishinaang,JDN-2010-Nouns,,,
396,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,NONE,Pej,NONE,Loc,gidanishinaabenzhishinaang,gi<<anishinaabew2>>nzhishinaang,JDN-2010-Nouns,,,
397,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gidanishinaabenzhishing,gi<<anishinaabew2>>nzhishing,JDN-2010-Nouns,,,
398,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gidanishinaabenzhishiwaang,gi<<anishinaabew2>>nzhishiwaang,JDN-2010-Nouns,,,
399,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,odanishinaabenzhishing,o<<anishinaabew2>>nzhishing,JDN-2010-Nouns,,,
400,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,odanishinaabenzhishiwaang,o<<anishinaabew2>>nzhishiwaang,JDN-2010-Nouns,,,
401,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,odanishinaabenzhishining,o<<anishinaabew2>>nzhishining,JDN-2010-Nouns,,,
402,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,odanishinaabenzhishining,o<<anishinaabew2>>nzhishining,GUESS,,,
431,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nindanishinaabensimishing,ni<<anishinaabew2>>nsimishing,JDN-2010-Nouns,,,
432,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nindanishinaabensimishinaang,ni<<anishinaabew2>>nsimishinaang,JDN-2010-Nouns,,,
433,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,Poss,Pej,NONE,Loc,gidanishinaabensimishinaang,gi<<anishinaabew2>>nsimishinaang,JDN-2010-Nouns,,,
434,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gidanishinaabensimishing,gi<<anishinaabew2>>nsimishing,JDN-2010-Nouns,,,
435,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gidanishinaabensimishiwaang,gi<<anishinaabew2>>nsimishiwaang,JDN-2010-Nouns,,,
436,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,odanishinaabensimishing,o<<anishinaabew2>>nsimishing,JDN-2010-Nouns,,,
437,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,odanishinaabensimishiwaang,o<<anishinaabew2>>nsimishiwaang,JDN-2010-Nouns,,,
438,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,odanishinaabensimishining,o<<anishinaabew2>>nsimishining,JDN-2010-Nouns,,,
439,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,odanishinaabensimishining,o<<anishinaabew2>>nsimishining,GUESS,,,
3,NA,NA_VV,anishinaabe,anishinaabew2,NONE,NONE,NONE,NONE,NONE,ObvPl,anishinaabe',<<anishinaabew2>>',JDN-2010-Nouns,anishinaaben,<<anishinaabew2>>n,JDN-2010-Nouns
9,NA,NA_VV,anishinaabe,anishinaabew2,NONE,Dim,NONE,NONE,NONE,ObvPl,anishinaabensa',<<anishinaabew2>>nsa',JDN-2010-Nouns,anishinaabensan,<<anishinaabew2>>nsan,JDN-2010-Nouns
15,NA,NA_VV,anishinaabe,anishinaabew2,NONE,NONE,NONE,Pej,NONE,ObvPl,anishinaabewisha',<<anishinaabew2>>isha',JDN-2010-Nouns,anishinaabewishan,<<anishinaabew2>>ishan,JDN-2010-Nouns
21,NA,NA_VV,anishinaabe,anishinaabew2,NONE,NONE,NONE,NONE,Pret,ObvPl,anishinaabebanii',<<anishinaabew2>>banii',JDN-2010-Nouns,anishinaabebaniin,<<anishinaabew2>>baniin,JDN-2010-Nouns
25,NA,NA_VV,anishinaabe,anishinaabew2,NONE,Dim,NONE,Pej,NONE,ObvPl,anishinaabenzhisha',<<anishinaabew2>>nzhisha',JDN-2010-Nouns,anishinaabenzhishan,<<anishinaabew2>>nzhishan,JDN-2010-Nouns
31,NA,NA_VV,anishinaabe,anishinaabew2,NONE,Dim,NONE,NONE,Pret,ObvPl,anishinaabensibanii',<<anishinaabew2>>nsibanii',JDN-2010-Nouns,anishinaabensibaniin,<<anishinaabew2>>nsibaniin,JDN-2010-Nouns
51,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nindanishinaabe',ni<<anishinaabew2>>',JDN-2010-Nouns,nindanishinaaben,ni<<anishinaabew2>>n,JDN-2010-Nouns
52,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nindanishinaabenaani',ni<<anishinaabew2>>naani',JDN-2010-Nouns,nindanishinaabenaanin,ni<<anishinaabew2>>naanin,JDN-2010-Nouns
53,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gidanishinaabenaani',gi<<anishinaabew2>>naani',JDN-2010-Nouns,gidanishinaabenaanin,gi<<anishinaabew2>>naanin,JDN-2010-Nouns
54,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gidanishinaabe',gi<<anishinaabew2>>',JDN-2010-Nouns,gidanishinaaben,gi<<anishinaabew2>>n,JDN-2010-Nouns
55,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gidanishinaabewaa',gi<<anishinaabew2>>waa',JDN-2010-Nouns,gidanishinaabewaan,gi<<anishinaabew2>>waan,JDN-2010-Nouns
56,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,odanishinaabe',o<<anishinaabew2>>',JDN-2010-Nouns,odanishinaaben,o<<anishinaabew2>>n,JDN-2010-Nouns
57,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,odanishinaabewaa',o<<anishinaabew2>>waa',JDN-2010-Nouns,odanishinaabewaan,o<<anishinaabew2>>waan,JDN-2010-Nouns
58,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,odanishinaabeni,o<<anishinaabew2>>niw1,JDN-2010-Nouns,odanishinaabeni,o<<anishinaabew2>>niw1,JDN-2010-Nouns
