Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NA,Vw-final,inini,<<ininiw4>>,DIM,ininiins,<<ininiw2>>ːns,JDN2011
NA,Vw-final,inini,<<ininiw4>>,PEJ,ininiwish,<<ininiw2>>ish,JDN2011
NA,Vw-final,inini,<<ininiw4>>,ProxSg,inini,<<ininiw2>>,OPD
NA,Vw-final,inini,<<ininiw4>>,ProxPl,ininiwag,<<ininiw2>>ag,JDN2011
NA,Vw-final,inini,<<ininiw4>>,LOC,ininiing,<<ininiw2>>ːng,JDN2011
NA,Vw-final,inini,<<ininiw4>>,PRET,ininiwiban,<<ininiw2>>iban,JDN2011
NA,Vw-final,inini,<<ininiw4>>,ObvSg,ininiwan,<<ininiw2>>an,JDN2011
NA,Vw-final,inini,<<ininiw4>>,ObvPl,ininiwa',<<ininiw2>>a',inferred
