Paradigm,Class,Lemma,Stem,Form1Surface,Form1Split,Form1Source
PCInterj,PCInterj,ambe,ambe,ambe,<<ambe>>,OPD
PCEmph,PCEmph,igo,igo,igo,<<igo>>,OPD
PCDisc,PCDisc,sa,sa,sa,<<sa>>,OPD
PCAsp,PCAsp,ko,ko,ko,<<ko>>,OPD
